district,ac_code,ac_name,part_no,booth_name,male,female,third_gender,total,female_pct
Cooch Behar,1201,CB-1201,1,Anganwadi Centre 1,240,246,1,487,50.51
Cooch Behar,1201,CB-1201,2,High School 2,313,286,0,599,47.75
Cooch Behar,1201,CB-1201,3,Club Building 3,290,285,1,576,49.48
Cooch Behar,1201,CB-1201,4,Primary School 4,254,250,0,504,49.6
Cooch Behar,1201,CB-1201,5,Anganwadi Centre 5,390,399,1,790,50.51
Cooch Behar,1201,CB-1201,6,Health Sub-Centre 6,267,265,0,532,49.81
Cooch Behar,1201,CB-1201,7,Market Building 7,243,244,0,487,50.1
Cooch Behar,1201,CB-1201,8,Primary School 8,258,235,1,494,47.57
Cooch Behar,1201,CB-1201,9,Market Building 9,347,322,1,670,48.06
Cooch Behar,1201,CB-1201,10,Club Building 10,288,278,1,567,49.03
Cooch Behar,1201,CB-1201,11,High School 11,241,242,1,484,50.0
Cooch Behar,1201,CB-1201,12,Madrasa 12,307,300,0,607,49.42
Cooch Behar,1201,CB-1201,13,Govt Office 13,265,248,0,513,48.34
Cooch Behar,1201,CB-1201,14,Market Building 14,324,304,1,629,48.33
Cooch Behar,1201,CB-1201,15,High School 15,291,266,1,558,47.67
Cooch Behar,1201,CB-1201,16,High School 16,270,245,0,515,47.57
Cooch Behar,1201,CB-1201,17,High School 17,316,291,1,608,47.86
Cooch Behar,1201,CB-1201,18,Market Building 18,347,314,1,662,47.43
Cooch Behar,1201,CB-1201,19,Govt Office 19,426,387,0,813,47.6
Cooch Behar,1201,CB-1201,20,Community Hall 20,320,321,1,642,50.0
Cooch Behar,1201,CB-1201,21,Primary School 21,380,370,1,751,49.27
Cooch Behar,1201,CB-1201,22,Health Sub-Centre 22,337,309,1,647,47.76
Cooch Behar,1201,CB-1201,23,Panchayat Bhavan 23,253,234,1,488,47.95
Cooch Behar,1201,CB-1201,24,Panchayat Bhavan 24,335,320,1,656,48.78
Cooch Behar,1201,CB-1201,25,Anganwadi Centre 25,405,369,1,775,47.61
Cooch Behar,1201,CB-1201,26,Health Sub-Centre 26,239,244,0,483,50.52
Cooch Behar,1201,CB-1201,27,Anganwadi Centre 27,293,281,1,575,48.87
Cooch Behar,1201,CB-1201,28,Club Building 28,389,358,1,748,47.86
Cooch Behar,1201,CB-1201,29,High School 29,248,256,0,504,50.79
Cooch Behar,1201,CB-1201,30,Anganwadi Centre 30,369,379,1,749,50.6
Cooch Behar,1201,CB-1201,31,Market Building 31,253,254,1,508,50.0
Cooch Behar,1201,CB-1201,32,Temple Hall 32,279,259,0,538,48.14
Cooch Behar,1201,CB-1201,33,High School 33,361,358,0,719,49.79
Cooch Behar,1201,CB-1201,34,Madrasa 34,333,318,1,652,48.77
Cooch Behar,1201,CB-1201,35,Anganwadi Centre 35,369,347,0,716,48.46
Cooch Behar,1201,CB-1201,36,Anganwadi Centre 36,401,400,1,802,49.88
Cooch Behar,1201,CB-1201,37,Post Office 37,278,254,1,533,47.65
Cooch Behar,1201,CB-1201,38,Market Building 38,340,314,1,655,47.94
Cooch Behar,1201,CB-1201,39,Anganwadi Centre 39,362,345,0,707,48.8
Cooch Behar,1201,CB-1201,40,Anganwadi Centre 40,262,250,1,513,48.73
Cooch Behar,1201,CB-1201,41,Temple Hall 41,399,400,1,800,50.0
Cooch Behar,1201,CB-1201,42,Panchayat Bhavan 42,245,235,1,481,48.86
Cooch Behar,1201,CB-1201,43,High School 43,294,265,1,560,47.32
Cooch Behar,1201,CB-1201,44,Health Sub-Centre 44,369,358,0,727,49.24
Cooch Behar,1201,CB-1201,45,Community Hall 45,278,259,1,538,48.14
Cooch Behar,1201,CB-1201,46,High School 46,405,403,0,808,49.88
Cooch Behar,1201,CB-1201,47,Health Sub-Centre 47,404,399,1,804,49.63
Cooch Behar,1201,CB-1201,48,Anganwadi Centre 48,400,378,1,779,48.52
Cooch Behar,1201,CB-1201,49,Govt Office 49,388,390,0,778,50.13
Cooch Behar,1201,CB-1201,50,Market Building 50,354,318,0,672,47.32
Cooch Behar,1201,CB-1201,51,Primary School 51,305,293,1,599,48.91
Cooch Behar,1201,CB-1201,52,Temple Hall 52,325,299,0,624,47.92
Cooch Behar,1201,CB-1201,53,Health Sub-Centre 53,365,334,1,700,47.71
Cooch Behar,1201,CB-1201,54,Health Sub-Centre 54,317,318,0,635,50.08
Cooch Behar,1201,CB-1201,55,Post Office 55,264,242,0,506,47.83
Cooch Behar,1201,CB-1201,56,Panchayat Bhavan 56,350,351,1,702,50.0
Cooch Behar,1201,CB-1201,57,Temple Hall 57,272,275,0,547,50.27
Cooch Behar,1201,CB-1201,58,Health Sub-Centre 58,279,275,0,554,49.64
Cooch Behar,1201,CB-1201,59,High School 59,374,383,1,758,50.53
Cooch Behar,1201,CB-1201,60,High School 60,357,323,1,681,47.43
Cooch Behar,1201,CB-1201,61,Community Hall 61,298,304,1,603,50.41
Cooch Behar,1201,CB-1201,62,Health Sub-Centre 62,340,344,1,685,50.22
Cooch Behar,1201,CB-1201,63,Anganwadi Centre 63,301,309,1,611,50.57
Cooch Behar,1201,CB-1201,64,Anganwadi Centre 64,342,339,1,682,49.71
Cooch Behar,1201,CB-1201,65,Market Building 65,322,321,1,644,49.84
Cooch Behar,1201,CB-1201,66,High School 66,267,276,1,544,50.74
Cooch Behar,1201,CB-1201,67,Market Building 67,315,319,1,635,50.24
Cooch Behar,1201,CB-1201,68,Panchayat Bhavan 68,317,304,0,621,48.95
Cooch Behar,1201,CB-1201,69,Anganwadi Centre 69,327,308,0,635,48.5
Cooch Behar,1201,CB-1201,70,Madrasa 70,335,320,0,655,48.85
Cooch Behar,1201,CB-1201,71,Temple Hall 71,412,385,0,797,48.31
Cooch Behar,1201,CB-1201,72,Market Building 72,352,319,0,671,47.54
Cooch Behar,1201,CB-1201,73,High School 73,343,346,0,689,50.22
Cooch Behar,1201,CB-1201,74,Anganwadi Centre 74,363,363,0,726,50.0
Cooch Behar,1201,CB-1201,75,Club Building 75,333,309,1,643,48.06
Cooch Behar,1201,CB-1201,76,Community Hall 76,348,340,1,689,49.35
Cooch Behar,1201,CB-1201,77,Panchayat Bhavan 77,350,331,0,681,48.6
Cooch Behar,1201,CB-1201,78,Primary School 78,428,390,0,818,47.68
Cooch Behar,1201,CB-1201,79,Govt Office 79,261,252,1,514,49.03
Cooch Behar,1201,CB-1201,80,Post Office 80,286,275,1,562,48.93
Cooch Behar,1201,CB-1201,81,Temple Hall 81,335,326,0,661,49.32
Cooch Behar,1201,CB-1201,82,Panchayat Bhavan 82,305,303,0,608,49.84
Cooch Behar,1201,CB-1201,83,High School 83,311,312,1,624,50.0
Cooch Behar,1201,CB-1201,84,Anganwadi Centre 84,320,327,0,647,50.54
Cooch Behar,1201,CB-1201,85,Anganwadi Centre 85,256,257,1,514,50.0
Cooch Behar,1201,CB-1201,86,Post Office 86,355,323,1,679,47.57
Cooch Behar,1201,CB-1201,87,Market Building 87,316,312,0,628,49.68
Cooch Behar,1201,CB-1201,88,Panchayat Bhavan 88,342,321,0,663,48.42
Cooch Behar,1201,CB-1201,89,Panchayat Bhavan 89,380,371,0,751,49.4
Cooch Behar,1201,CB-1201,90,Temple Hall 90,352,335,1,688,48.69
Cooch Behar,1201,CB-1201,91,Market Building 91,320,295,0,615,47.97
Cooch Behar,1201,CB-1201,92,Madrasa 92,374,356,0,730,48.77
Cooch Behar,1201,CB-1201,93,Club Building 93,327,310,0,637,48.67
