district,ac_code,ac_name,part_no,booth_name,male,female,third_gender,total,female_pct
Dakshin Dinajpur,1801,DD-1801,1,Health Sub-Centre 1,310,304,1,615,49.43
Dakshin Dinajpur,1801,DD-1801,2,Post Office 2,368,345,0,713,48.39
Dakshin Dinajpur,1801,DD-1801,3,Health Sub-Centre 3,413,405,1,819,49.45
Dakshin Dinajpur,1801,DD-1801,4,Anganwadi Centre 4,386,375,1,762,49.21
Dakshin Dinajpur,1801,DD-1801,5,Anganwadi Centre 5,401,394,0,795,49.56
Dakshin Dinajpur,1801,DD-1801,6,Market Building 6,318,291,0,609,47.78
Dakshin Dinajpur,1801,DD-1801,7,Temple Hall 7,268,245,1,514,47.67
Dakshin Dinajpur,1801,DD-1801,8,Temple Hall 8,324,295,0,619,47.66
Dakshin Dinajpur,1801,DD-1801,9,Club Building 9,341,312,1,654,47.71
Dakshin Dinajpur,1801,DD-1801,10,Community Hall 10,393,403,1,797,50.56
Dakshin Dinajpur,1801,DD-1801,11,Panchayat Bhavan 11,385,355,0,740,47.97
Dakshin Dinajpur,1801,DD-1801,12,Panchayat Bhavan 12,363,348,0,711,48.95
Dakshin Dinajpur,1801,DD-1801,13,Market Building 13,320,316,1,637,49.61
Dakshin Dinajpur,1801,DD-1801,14,High School 14,318,290,0,608,47.7
Dakshin Dinajpur,1801,DD-1801,15,Primary School 15,383,393,1,777,50.58
Dakshin Dinajpur,1801,DD-1801,16,High School 16,378,382,0,760,50.26
Dakshin Dinajpur,1801,DD-1801,17,Anganwadi Centre 17,394,362,0,756,47.88
Dakshin Dinajpur,1801,DD-1801,18,Govt Office 18,376,354,1,731,48.43
Dakshin Dinajpur,1801,DD-1801,19,Health Sub-Centre 19,250,251,1,502,50.0
Dakshin Dinajpur,1801,DD-1801,20,Madrasa 20,340,343,1,684,50.15
Dakshin Dinajpur,1801,DD-1801,21,Govt Office 21,369,379,1,749,50.6
Dakshin Dinajpur,1801,DD-1801,22,Market Building 22,374,380,1,755,50.33
Dakshin Dinajpur,1801,DD-1801,23,Club Building 23,270,248,1,519,47.78
Dakshin Dinajpur,1801,DD-1801,24,Market Building 24,302,290,0,592,48.99
Dakshin Dinajpur,1801,DD-1801,25,Temple Hall 25,365,330,0,695,47.48
Dakshin Dinajpur,1801,DD-1801,26,Community Hall 26,390,401,1,792,50.63
Dakshin Dinajpur,1801,DD-1801,27,Community Hall 27,284,281,0,565,49.73
Dakshin Dinajpur,1801,DD-1801,28,Govt Office 28,329,321,0,650,49.38
Dakshin Dinajpur,1801,DD-1801,29,High School 29,368,367,1,736,49.86
Dakshin Dinajpur,1801,DD-1801,30,Govt Office 30,382,347,0,729,47.6
