district,ac_code,ac_name,part_no,booth_name,male,female,third_gender,total,female_pct
Darjeeling,1901,Drj-1901,1,Market Building 1,268,262,0,530,49.43
Darjeeling,1901,Drj-1901,2,Community Hall 2,295,273,1,569,47.98
Darjeeling,1901,Drj-1901,3,Temple Hall 3,354,319,1,674,47.33
Darjeeling,1901,Drj-1901,4,Community Hall 4,414,397,0,811,48.95
Darjeeling,1901,Drj-1901,5,Madrasa 5,421,386,1,808,47.77
Darjeeling,1901,Drj-1901,6,Post Office 6,288,273,1,562,48.58
Darjeeling,1901,Drj-1901,7,Post Office 7,289,262,0,551,47.55
Darjeeling,1901,Drj-1901,8,Health Sub-Centre 8,257,256,0,513,49.9
Darjeeling,1901,Drj-1901,9,Club Building 9,306,292,0,598,48.83
Darjeeling,1901,Drj-1901,10,Panchayat Bhavan 10,419,383,1,803,47.7
Darjeeling,1901,Drj-1901,11,Market Building 11,318,326,0,644,50.62
Darjeeling,1901,Drj-1901,12,Community Hall 12,393,403,0,796,50.63
Darjeeling,1901,Drj-1901,13,Govt Office 13,303,287,0,590,48.64
Darjeeling,1901,Drj-1901,14,Club Building 14,334,312,0,646,48.3
Darjeeling,1901,Drj-1901,15,Temple Hall 15,293,292,1,586,49.83
Darjeeling,1901,Drj-1901,16,Post Office 16,386,393,0,779,50.45
Darjeeling,1901,Drj-1901,17,Panchayat Bhavan 17,406,401,0,807,49.69
Darjeeling,1901,Drj-1901,18,Govt Office 18,381,344,1,726,47.38
Darjeeling,1901,Drj-1901,19,Club Building 19,356,363,1,720,50.42
Darjeeling,1901,Drj-1901,20,Govt Office 20,364,357,0,721,49.51
Darjeeling,1901,Drj-1901,21,Community Hall 21,304,288,0,592,48.65
Darjeeling,1901,Drj-1901,22,Post Office 22,315,285,1,601,47.42
Darjeeling,1901,Drj-1901,23,Post Office 23,244,250,0,494,50.61
Darjeeling,1901,Drj-1901,24,Community Hall 24,287,297,1,585,50.77
Darjeeling,1901,Drj-1901,25,Madrasa 25,329,296,1,626,47.28
Darjeeling,1901,Drj-1901,26,Anganwadi Centre 26,317,311,0,628,49.52
Darjeeling,1901,Drj-1901,27,Anganwadi Centre 27,411,373,0,784,47.58
Darjeeling,1901,Drj-1901,28,Madrasa 28,367,365,0,732,49.86
Darjeeling,1901,Drj-1901,29,Club Building 29,331,323,0,654,49.39
Darjeeling,1901,Drj-1901,30,Panchayat Bhavan 30,386,350,0,736,47.55
Darjeeling,1901,Drj-1901,31,Market Building 31,357,354,0,711,49.79
Darjeeling,1901,Drj-1901,32,Primary School 32,302,284,0,586,48.46
Darjeeling,1901,Drj-1901,33,Temple Hall 33,292,281,1,574,48.95
Darjeeling,1901,Drj-1901,34,Health Sub-Centre 34,396,376,1,773,48.64
Darjeeling,1901,Drj-1901,35,Panchayat Bhavan 35,412,372,1,785,47.39
Darjeeling,1901,Drj-1901,36,Club Building 36,398,396,1,795,49.81
Darjeeling,1901,Drj-1901,37,Temple Hall 37,272,267,1,540,49.44
Darjeeling,1901,Drj-1901,38,Post Office 38,354,323,0,677,47.71
Darjeeling,1901,Drj-1901,39,Health Sub-Centre 39,323,327,1,651,50.23
Darjeeling,1901,Drj-1901,40,Madrasa 40,297,269,1,567,47.44
Darjeeling,1901,Drj-1901,41,Anganwadi Centre 41,381,362,0,743,48.72
Darjeeling,1901,Drj-1901,42,Market Building 42,271,272,1,544,50.0
Darjeeling,1901,Drj-1901,43,Club Building 43,259,248,1,508,48.82
Darjeeling,1901,Drj-1901,44,Primary School 44,306,280,1,587,47.7
Darjeeling,1901,Drj-1901,45,Madrasa 45,393,368,1,762,48.29
Darjeeling,1901,Drj-1901,46,Anganwadi Centre 46,309,299,0,608,49.18
Darjeeling,1901,Drj-1901,47,Anganwadi Centre 47,397,357,0,754,47.35
Darjeeling,1901,Drj-1901,48,Primary School 48,315,306,0,621,49.28
Darjeeling,1901,Drj-1901,49,Govt Office 49,282,281,0,563,49.91
Darjeeling,1901,Drj-1901,50,Panchayat Bhavan 50,270,242,1,513,47.17
Darjeeling,1901,Drj-1901,51,Primary School 51,351,360,0,711,50.63
Darjeeling,1901,Drj-1901,52,High School 52,269,257,0,526,48.86
Darjeeling,1901,Drj-1901,53,Madrasa 53,353,361,1,715,50.49
Darjeeling,1901,Drj-1901,54,Post Office 54,307,311,0,618,50.32
Darjeeling,1901,Drj-1901,55,Govt Office 55,307,281,0,588,47.79
Darjeeling,1901,Drj-1901,56,Health Sub-Centre 56,413,377,0,790,47.72
Darjeeling,1901,Drj-1901,57,Primary School 57,396,382,0,778,49.1
Darjeeling,1901,Drj-1901,58,Post Office 58,286,266,1,553,48.1
Darjeeling,1901,Drj-1901,59,Community Hall 59,375,351,1,727,48.28
Darjeeling,1901,Drj-1901,60,Anganwadi Centre 60,282,259,0,541,47.87
Darjeeling,1901,Drj-1901,61,Market Building 61,407,396,0,803,49.32
Darjeeling,1901,Drj-1901,62,Temple Hall 62,256,245,1,502,48.8
Darjeeling,1901,Drj-1901,63,Primary School 63,282,266,1,549,48.45
Darjeeling,1901,Drj-1901,64,Health Sub-Centre 64,296,298,0,594,50.17
Darjeeling,1901,Drj-1901,65,Madrasa 65,303,292,0,595,49.08
Darjeeling,1901,Drj-1901,66,Panchayat Bhavan 66,369,376,1,746,50.4
Darjeeling,1901,Drj-1901,67,Community Hall 67,331,319,0,650,49.08
Darjeeling,1901,Drj-1901,68,Market Building 68,270,270,0,540,50.0
Darjeeling,1901,Drj-1901,69,High School 69,285,284,1,570,49.82
Darjeeling,1901,Drj-1901,70,Temple Hall 70,336,346,1,683,50.66
Darjeeling,1901,Drj-1901,71,Govt Office 71,407,409,0,816,50.12
Darjeeling,1901,Drj-1901,72,Panchayat Bhavan 72,279,281,0,560,50.18
Darjeeling,1901,Drj-1901,73,Temple Hall 73,387,360,1,748,48.13
Darjeeling,1901,Drj-1901,74,Govt Office 74,386,384,0,770,49.87
Darjeeling,1901,Drj-1901,75,High School 75,308,316,0,624,50.64
Darjeeling,1901,Drj-1901,76,Primary School 76,348,356,1,705,50.5
Darjeeling,1901,Drj-1901,77,Health Sub-Centre 77,375,385,1,761,50.59
Darjeeling,1901,Drj-1901,78,Post Office 78,321,328,0,649,50.54
Darjeeling,1901,Drj-1901,79,High School 79,285,267,0,552,48.37
Darjeeling,1901,Drj-1901,80,High School 80,381,354,0,735,48.16
Darjeeling,1901,Drj-1901,81,Temple Hall 81,252,250,0,502,49.8
Darjeeling,1901,Drj-1901,82,Primary School 82,314,281,0,595,47.23
Darjeeling,1901,Drj-1901,83,Club Building 83,313,310,0,623,49.76
Darjeeling,1901,Drj-1901,84,Temple Hall 84,287,271,0,558,48.57
Darjeeling,1901,Drj-1901,85,Madrasa 85,251,239,1,491,48.68
Darjeeling,1901,Drj-1901,86,Govt Office 86,382,361,1,744,48.52
Darjeeling,1901,Drj-1901,87,Health Sub-Centre 87,396,386,0,782,49.36
Darjeeling,1901,Drj-1901,88,Post Office 88,293,267,0,560,47.68
Darjeeling,1901,Drj-1901,89,Govt Office 89,353,326,1,680,47.94
Darjeeling,1901,Drj-1901,90,High School 90,374,335,0,709,47.25
Darjeeling,1901,Drj-1901,91,Community Hall 91,320,294,1,615,47.8
Darjeeling,1901,Drj-1901,92,Madrasa 92,338,330,0,668,49.4
Darjeeling,1901,Drj-1901,93,Health Sub-Centre 93,398,383,0,781,49.04
Darjeeling,1901,Drj-1901,94,Anganwadi Centre 94,294,300,0,594,50.51
Darjeeling,1901,Drj-1901,95,Community Hall 95,374,367,0,741,49.53
Darjeeling,1901,Drj-1901,96,High School 96,260,264,0,524,50.38
Darjeeling,1901,Drj-1901,97,Panchayat Bhavan 97,249,256,0,505,50.69
Darjeeling,1901,Drj-1901,98,Govt Office 98,258,241,1,500,48.2
Darjeeling,1901,Drj-1901,99,Primary School 99,336,318,0,654,48.62
Darjeeling,1901,Drj-1901,100,Panchayat Bhavan 100,375,365,1,741,49.26
Darjeeling,1901,Drj-1901,101,Govt Office 101,304,276,1,581,47.5
Darjeeling,1901,Drj-1901,102,Market Building 102,347,314,0,661,47.5
Darjeeling,1901,Drj-1901,103,Temple Hall 103,414,386,0,800,48.25
Darjeeling,1901,Drj-1901,104,High School 104,383,388,0,771,50.32
Darjeeling,1901,Drj-1901,105,Health Sub-Centre 105,336,336,0,672,50.0
Darjeeling,1901,Drj-1901,106,Madrasa 106,368,336,0,704,47.73
Darjeeling,1901,Drj-1901,107,Post Office 107,408,374,0,782,47.83
Darjeeling,1901,Drj-1901,108,Club Building 108,396,401,0,797,50.31
Darjeeling,1901,Drj-1901,109,Madrasa 109,342,353,0,695,50.79
Darjeeling,1901,Drj-1901,110,Anganwadi Centre 110,389,379,0,768,49.35
Darjeeling,1901,Drj-1901,111,Market Building 111,316,317,0,633,50.08
Darjeeling,1901,Drj-1901,112,Health Sub-Centre 112,352,340,1,693,49.06
Darjeeling,1901,Drj-1901,113,Health Sub-Centre 113,368,361,0,729,49.52
Darjeeling,1901,Drj-1901,114,Madrasa 114,262,243,1,506,48.02
Darjeeling,1901,Drj-1901,115,Post Office 115,367,339,0,706,48.02
Darjeeling,1901,Drj-1901,116,Govt Office 116,348,341,0,689,49.49
Darjeeling,1901,Drj-1901,117,Community Hall 117,325,298,1,624,47.76
Darjeeling,1901,Drj-1901,118,Anganwadi Centre 118,323,294,0,617,47.65
Darjeeling,1901,Drj-1901,119,High School 119,291,281,0,572,49.13
Darjeeling,1901,Drj-1901,120,Market Building 120,347,330,1,678,48.67
Darjeeling,1901,Drj-1901,121,High School 121,260,235,0,495,47.47
Darjeeling,1901,Drj-1901,122,Community Hall 122,267,245,0,512,47.85
Darjeeling,1901,Drj-1901,123,Temple Hall 123,280,266,1,547,48.63
Darjeeling,1901,Drj-1901,124,Anganwadi Centre 124,420,384,1,805,47.7
Darjeeling,1901,Drj-1901,125,Temple Hall 125,242,244,1,487,50.1
Darjeeling,1901,Drj-1901,126,Community Hall 126,332,324,0,656,49.39
Darjeeling,1901,Drj-1901,127,Club Building 127,285,268,0,553,48.46
Darjeeling,1901,Drj-1901,128,Club Building 128,383,349,1,733,47.61
Darjeeling,1901,Drj-1901,129,Govt Office 129,334,317,0,651,48.69
Darjeeling,1901,Drj-1901,130,Health Sub-Centre 130,419,398,0,817,48.71
Darjeeling,1901,Drj-1901,131,Madrasa 131,381,347,1,729,47.6
Darjeeling,1901,Drj-1901,132,Post Office 132,277,269,0,546,49.27
Darjeeling,1901,Drj-1901,133,Panchayat Bhavan 133,401,388,1,790,49.11
Darjeeling,1901,Drj-1901,134,Market Building 134,294,281,0,575,48.87
Darjeeling,1901,Drj-1901,135,Temple Hall 135,370,372,0,742,50.13
Darjeeling,1901,Drj-1901,136,High School 136,245,247,1,493,50.1
Darjeeling,1901,Drj-1901,137,High School 137,299,282,1,582,48.45
Darjeeling,1901,Drj-1901,138,Community Hall 138,301,284,0,585,48.55
Darjeeling,1901,Drj-1901,139,Community Hall 139,380,382,1,763,50.07
Darjeeling,1901,Drj-1901,140,Community Hall 140,335,322,1,658,48.94
Darjeeling,1901,Drj-1901,141,Post Office 141,301,287,0,588,48.81
Darjeeling,1901,Drj-1901,142,Panchayat Bhavan 142,340,348,0,688,50.58
Darjeeling,1901,Drj-1901,143,Madrasa 143,335,326,0,661,49.32
Darjeeling,1901,Drj-1901,144,Anganwadi Centre 144,281,287,1,569,50.44
Darjeeling,1901,Drj-1901,145,Primary School 145,394,354,1,749,47.26
Darjeeling,1901,Drj-1901,146,Primary School 146,282,262,0,544,48.16
Darjeeling,1901,Drj-1901,147,Madrasa 147,395,360,1,756,47.62
Darjeeling,1901,Drj-1901,148,Panchayat Bhavan 148,368,332,0,700,47.43
Darjeeling,1901,Drj-1901,149,Anganwadi Centre 149,410,391,1,802,48.75
Darjeeling,1901,Drj-1901,150,Club Building 150,315,325,1,641,50.7
Darjeeling,1901,Drj-1901,151,Market Building 151,321,298,1,620,48.06
Darjeeling,1901,Drj-1901,152,Market Building 152,288,292,0,580,50.34
Darjeeling,1901,Drj-1901,153,Madrasa 153,304,294,0,598,49.16
Darjeeling,1901,Drj-1901,154,Post Office 154,272,270,0,542,49.82
Darjeeling,1901,Drj-1901,155,Govt Office 155,243,250,1,494,50.61
Darjeeling,1901,Drj-1901,156,Temple Hall 156,404,408,1,813,50.18
Darjeeling,1901,Drj-1901,157,Panchayat Bhavan 157,344,323,1,668,48.35
Darjeeling,1901,Drj-1901,158,Govt Office 158,376,359,1,736,48.78
Darjeeling,1901,Drj-1901,159,Community Hall 159,281,280,1,562,49.82
Darjeeling,1901,Drj-1901,160,Primary School 160,369,342,1,712,48.03
Darjeeling,1901,Drj-1901,161,Health Sub-Centre 161,332,315,1,648,48.61
Darjeeling,1901,Drj-1901,162,High School 162,285,285,0,570,50.0
Darjeeling,1901,Drj-1901,163,Post Office 163,328,295,1,624,47.28
Darjeeling,1901,Drj-1901,164,Health Sub-Centre 164,267,256,1,524,48.85
Darjeeling,1901,Drj-1901,165,High School 165,290,276,0,566,48.76
Darjeeling,1901,Drj-1901,166,Club Building 166,361,356,0,717,49.65
