district,ac_code,ac_name,part_no,booth_name,male,female,third_gender,total,female_pct
Howrah,701,Hwr-701,1,Panchayat Bhavan 1,368,363,1,732,49.59
Howrah,701,Hwr-701,2,Primary School 2,305,287,1,593,48.4
Howrah,701,Hwr-701,3,Anganwadi Centre 3,350,333,1,684,48.68
Howrah,701,Hwr-701,4,Post Office 4,242,249,1,492,50.61
Howrah,701,Hwr-701,5,Community Hall 5,329,319,0,648,49.23
Howrah,701,Hwr-701,6,Health Sub-Centre 6,414,385,0,799,48.19
Howrah,701,Hwr-701,7,Club Building 7,404,408,0,812,50.25
Howrah,701,Hwr-701,8,Post Office 8,358,351,1,710,49.44
Howrah,701,Hwr-701,9,Club Building 9,341,308,0,649,47.46
Howrah,701,Hwr-701,10,Madrasa 10,324,298,0,622,47.91
Howrah,701,Hwr-701,11,Anganwadi Centre 11,350,315,0,665,47.37
Howrah,701,Hwr-701,12,Madrasa 12,384,352,1,737,47.76
Howrah,701,Hwr-701,13,Madrasa 13,331,321,1,653,49.16
Howrah,701,Hwr-701,14,High School 14,287,273,0,560,48.75
Howrah,701,Hwr-701,15,Health Sub-Centre 15,256,250,0,506,49.41
Howrah,701,Hwr-701,16,High School 16,309,291,1,601,48.42
Howrah,701,Hwr-701,17,Madrasa 17,396,380,1,777,48.91
Howrah,701,Hwr-701,18,Temple Hall 18,255,252,0,507,49.7
Howrah,701,Hwr-701,19,Primary School 19,371,383,0,754,50.8
Howrah,701,Hwr-701,20,Panchayat Bhavan 20,280,264,0,544,48.53
Howrah,701,Hwr-701,21,Primary School 21,364,349,0,713,48.95
Howrah,701,Hwr-701,22,Market Building 22,306,285,0,591,48.22
Howrah,701,Hwr-701,23,Health Sub-Centre 23,294,266,1,561,47.42
Howrah,701,Hwr-701,24,High School 24,401,397,0,798,49.75
Howrah,701,Hwr-701,25,Anganwadi Centre 25,332,305,0,637,47.88
Howrah,701,Hwr-701,26,Community Hall 26,319,315,1,635,49.61
Howrah,701,Hwr-701,27,Market Building 27,405,415,0,820,50.61
Howrah,701,Hwr-701,28,Govt Office 28,350,337,0,687,49.05
Howrah,701,Hwr-701,29,Community Hall 29,422,379,1,802,47.26
Howrah,701,Hwr-701,30,Anganwadi Centre 30,299,270,1,570,47.37
Howrah,701,Hwr-701,31,High School 31,367,345,1,713,48.39
Howrah,701,Hwr-701,32,Govt Office 32,336,345,0,681,50.66
Howrah,701,Hwr-701,33,Primary School 33,306,297,1,604,49.17
Howrah,701,Hwr-701,34,Temple Hall 34,360,370,1,731,50.62
Howrah,701,Hwr-701,35,High School 35,401,396,1,798,49.62
Howrah,701,Hwr-701,36,Club Building 36,310,297,0,607,48.93
Howrah,701,Hwr-701,37,Govt Office 37,341,307,0,648,47.38
Howrah,701,Hwr-701,38,Club Building 38,258,238,1,497,47.89
Howrah,701,Hwr-701,39,Temple Hall 39,379,383,0,762,50.26
Howrah,701,Hwr-701,40,Panchayat Bhavan 40,291,283,0,574,49.3
Howrah,701,Hwr-701,41,Anganwadi Centre 41,335,313,0,648,48.3
Howrah,701,Hwr-701,42,Madrasa 42,329,316,0,645,48.99
Howrah,701,Hwr-701,43,Panchayat Bhavan 43,354,356,0,710,50.14
Howrah,701,Hwr-701,44,Govt Office 44,349,336,0,685,49.05
Howrah,701,Hwr-701,45,Health Sub-Centre 45,387,379,1,767,49.41
Howrah,701,Hwr-701,46,High School 46,362,347,0,709,48.94
Howrah,701,Hwr-701,47,Anganwadi Centre 47,382,387,0,769,50.33
Howrah,701,Hwr-701,48,Primary School 48,320,319,1,640,49.84
Howrah,701,Hwr-701,49,Temple Hall 49,404,368,1,773,47.61
Howrah,701,Hwr-701,50,Temple Hall 50,286,279,1,566,49.29
Howrah,701,Hwr-701,51,Temple Hall 51,391,383,0,774,49.48
