district,ac_code,ac_name,part_no,booth_name,male,female,third_gender,total,female_pct
Jalpaiguri,1501,Jlp-1501,1,Madrasa 1,285,270,0,555,48.65
Jalpaiguri,1501,Jlp-1501,2,Club Building 2,288,276,1,565,48.85
Jalpaiguri,1501,Jlp-1501,3,Temple Hall 3,404,372,0,776,47.94
Jalpaiguri,1501,Jlp-1501,4,Community Hall 4,301,273,1,575,47.48
Jalpaiguri,1501,Jlp-1501,5,Health Sub-Centre 5,374,358,1,733,48.84
Jalpaiguri,1501,Jlp-1501,6,Community Hall 6,399,363,0,762,47.64
Jalpaiguri,1501,Jlp-1501,7,Govt Office 7,373,366,0,739,49.53
Jalpaiguri,1501,Jlp-1501,8,Health Sub-Centre 8,395,380,1,776,48.97
Jalpaiguri,1501,Jlp-1501,9,Panchayat Bhavan 9,340,336,1,677,49.63
Jalpaiguri,1501,Jlp-1501,10,Anganwadi Centre 10,283,254,0,537,47.3
Jalpaiguri,1501,Jlp-1501,11,Community Hall 11,355,363,1,719,50.49
Jalpaiguri,1501,Jlp-1501,12,Madrasa 12,253,251,0,504,49.8
Jalpaiguri,1501,Jlp-1501,13,Health Sub-Centre 13,289,268,1,558,48.03
Jalpaiguri,1501,Jlp-1501,14,Health Sub-Centre 14,318,290,1,609,47.62
Jalpaiguri,1501,Jlp-1501,15,Primary School 15,288,286,1,575,49.74
Jalpaiguri,1501,Jlp-1501,16,Temple Hall 16,360,347,1,708,49.01
Jalpaiguri,1501,Jlp-1501,17,Post Office 17,245,243,1,489,49.69
Jalpaiguri,1501,Jlp-1501,18,Post Office 18,356,345,1,702,49.15
Jalpaiguri,1501,Jlp-1501,19,High School 19,289,263,0,552,47.64
Jalpaiguri,1501,Jlp-1501,20,Madrasa 20,316,293,1,610,48.03
Jalpaiguri,1501,Jlp-1501,21,Club Building 21,383,385,0,768,50.13
Jalpaiguri,1501,Jlp-1501,22,Club Building 22,402,413,0,815,50.67
Jalpaiguri,1501,Jlp-1501,23,High School 23,394,385,1,780,49.36
Jalpaiguri,1501,Jlp-1501,24,Market Building 24,339,343,0,682,50.29
Jalpaiguri,1501,Jlp-1501,25,Temple Hall 25,310,280,0,590,47.46
Jalpaiguri,1501,Jlp-1501,26,Primary School 26,285,270,1,556,48.56
Jalpaiguri,1501,Jlp-1501,27,Community Hall 27,325,312,1,638,48.9
Jalpaiguri,1501,Jlp-1501,28,Madrasa 28,251,258,0,509,50.69
Jalpaiguri,1501,Jlp-1501,29,Temple Hall 29,246,236,1,483,48.86
Jalpaiguri,1501,Jlp-1501,30,Temple Hall 30,309,296,0,605,48.93
Jalpaiguri,1501,Jlp-1501,31,Post Office 31,310,309,0,619,49.92
Jalpaiguri,1501,Jlp-1501,32,Community Hall 32,355,327,0,682,47.95
Jalpaiguri,1501,Jlp-1501,33,Post Office 33,391,362,0,753,48.07
Jalpaiguri,1501,Jlp-1501,34,Panchayat Bhavan 34,351,362,1,714,50.7
Jalpaiguri,1501,Jlp-1501,35,Temple Hall 35,386,363,1,750,48.4
Jalpaiguri,1501,Jlp-1501,36,Govt Office 36,297,277,0,574,48.26
Jalpaiguri,1501,Jlp-1501,37,Primary School 37,386,381,1,768,49.61
Jalpaiguri,1501,Jlp-1501,38,Anganwadi Centre 38,255,244,1,500,48.8
Jalpaiguri,1501,Jlp-1501,39,Panchayat Bhavan 39,382,360,1,743,48.45
Jalpaiguri,1501,Jlp-1501,40,Madrasa 40,432,386,0,818,47.19
Jalpaiguri,1501,Jlp-1501,41,High School 41,362,337,1,700,48.14
Jalpaiguri,1501,Jlp-1501,42,Club Building 42,283,288,1,572,50.35
Jalpaiguri,1501,Jlp-1501,43,Primary School 43,334,334,0,668,50.0
Jalpaiguri,1501,Jlp-1501,44,Anganwadi Centre 44,256,239,0,495,48.28
Jalpaiguri,1501,Jlp-1501,45,Govt Office 45,423,394,0,817,48.23
Jalpaiguri,1501,Jlp-1501,46,Community Hall 46,262,243,1,506,48.02
Jalpaiguri,1501,Jlp-1501,47,Post Office 47,327,317,1,645,49.15
Jalpaiguri,1501,Jlp-1501,48,Community Hall 48,273,257,0,530,48.49
Jalpaiguri,1501,Jlp-1501,49,Panchayat Bhavan 49,273,275,0,548,50.18
Jalpaiguri,1501,Jlp-1501,50,Anganwadi Centre 50,380,341,0,721,47.3
Jalpaiguri,1501,Jlp-1501,51,Panchayat Bhavan 51,258,265,0,523,50.67
Jalpaiguri,1501,Jlp-1501,52,Govt Office 52,378,384,1,763,50.33
Jalpaiguri,1501,Jlp-1501,53,Club Building 53,308,290,0,598,48.49
Jalpaiguri,1501,Jlp-1501,54,Govt Office 54,365,343,1,709,48.38
Jalpaiguri,1501,Jlp-1501,55,Club Building 55,384,374,1,759,49.28
Jalpaiguri,1501,Jlp-1501,56,Market Building 56,305,275,1,581,47.33
Jalpaiguri,1501,Jlp-1501,57,Anganwadi Centre 57,354,333,1,688,48.4
Jalpaiguri,1501,Jlp-1501,58,Club Building 58,333,310,1,644,48.14
Jalpaiguri,1501,Jlp-1501,59,Madrasa 59,348,334,1,683,48.9
Jalpaiguri,1501,Jlp-1501,60,Primary School 60,307,284,1,592,47.97
Jalpaiguri,1501,Jlp-1501,61,Anganwadi Centre 61,301,276,1,578,47.75
Jalpaiguri,1501,Jlp-1501,62,Health Sub-Centre 62,346,314,0,660,47.58
Jalpaiguri,1501,Jlp-1501,63,Temple Hall 63,370,361,1,732,49.32
Jalpaiguri,1501,Jlp-1501,64,Primary School 64,308,306,1,615,49.76
Jalpaiguri,1501,Jlp-1501,65,High School 65,258,254,0,512,49.61
Jalpaiguri,1501,Jlp-1501,66,Post Office 66,411,383,1,795,48.18
Jalpaiguri,1501,Jlp-1501,67,High School 67,365,359,0,724,49.59
Jalpaiguri,1501,Jlp-1501,68,Temple Hall 68,289,268,0,557,48.11
Jalpaiguri,1501,Jlp-1501,69,Community Hall 69,377,346,1,724,47.79
Jalpaiguri,1501,Jlp-1501,70,Anganwadi Centre 70,334,316,1,651,48.54
Jalpaiguri,1501,Jlp-1501,71,Panchayat Bhavan 71,259,236,0,495,47.68
Jalpaiguri,1501,Jlp-1501,72,Govt Office 72,275,263,0,538,48.88
Jalpaiguri,1501,Jlp-1501,73,Anganwadi Centre 73,356,338,1,695,48.63
Jalpaiguri,1501,Jlp-1501,74,High School 74,402,371,0,773,47.99
Jalpaiguri,1501,Jlp-1501,75,Club Building 75,400,405,0,805,50.31
Jalpaiguri,1501,Jlp-1501,76,Anganwadi Centre 76,301,280,1,582,48.11
Jalpaiguri,1501,Jlp-1501,77,Temple Hall 77,378,341,1,720,47.36
Jalpaiguri,1501,Jlp-1501,78,Community Hall 78,324,294,0,618,47.57
Jalpaiguri,1501,Jlp-1501,79,Anganwadi Centre 79,356,335,0,691,48.48
Jalpaiguri,1501,Jlp-1501,80,Post Office 80,380,370,1,751,49.27
Jalpaiguri,1501,Jlp-1501,81,Temple Hall 81,330,339,0,669,50.67
Jalpaiguri,1501,Jlp-1501,82,Market Building 82,346,332,1,679,48.9
Jalpaiguri,1501,Jlp-1501,83,Govt Office 83,339,316,1,656,48.17
Jalpaiguri,1501,Jlp-1501,84,Govt Office 84,247,233,1,481,48.44
Jalpaiguri,1501,Jlp-1501,85,Panchayat Bhavan 85,244,239,0,483,49.48
Jalpaiguri,1501,Jlp-1501,86,Post Office 86,393,378,1,772,48.96
Jalpaiguri,1501,Jlp-1501,87,Post Office 87,281,289,0,570,50.7
Jalpaiguri,1501,Jlp-1501,88,Community Hall 88,370,351,1,722,48.61
Jalpaiguri,1501,Jlp-1501,89,Community Hall 89,356,351,0,707,49.65
Jalpaiguri,1501,Jlp-1501,90,Anganwadi Centre 90,377,367,0,744,49.33
Jalpaiguri,1501,Jlp-1501,91,Temple Hall 91,337,316,1,654,48.32
Jalpaiguri,1501,Jlp-1501,92,Panchayat Bhavan 92,308,289,1,598,48.33
Jalpaiguri,1501,Jlp-1501,93,Health Sub-Centre 93,294,275,0,569,48.33
Jalpaiguri,1501,Jlp-1501,94,Madrasa 94,379,374,1,754,49.6
Jalpaiguri,1501,Jlp-1501,95,Post Office 95,348,314,1,663,47.36
Jalpaiguri,1501,Jlp-1501,96,Market Building 96,307,293,1,601,48.75
Jalpaiguri,1501,Jlp-1501,97,Post Office 97,240,241,0,481,50.1
Jalpaiguri,1501,Jlp-1501,98,Anganwadi Centre 98,327,320,1,648,49.38
Jalpaiguri,1501,Jlp-1501,99,Market Building 99,344,318,0,662,48.04
Jalpaiguri,1501,Jlp-1501,100,Madrasa 100,309,288,0,597,48.24
Jalpaiguri,1501,Jlp-1501,101,Club Building 101,292,267,0,559,47.76
