district,ac_code,ac_name,part_no,booth_name,male,female,third_gender,total,female_pct
Jhargram,2001,Jhr-2001,1,Anganwadi Centre 1,385,388,1,774,50.13
Jhargram,2001,Jhr-2001,2,Community Hall 2,398,389,0,787,49.43
Jhargram,2001,Jhr-2001,3,High School 3,349,315,1,665,47.37
Jhargram,2001,Jhr-2001,4,Panchayat Bhavan 4,335,322,1,658,48.94
Jhargram,2001,Jhr-2001,5,Health Sub-Centre 5,324,313,0,637,49.14
Jhargram,2001,Jhr-2001,6,Market Building 6,370,337,0,707,47.67
Jhargram,2001,Jhr-2001,7,Post Office 7,247,240,1,488,49.18
Jhargram,2001,Jhr-2001,8,Post Office 8,286,277,0,563,49.2
Jhargram,2001,Jhr-2001,9,Temple Hall 9,376,370,1,747,49.53
Jhargram,2001,Jhr-2001,10,High School 10,397,380,1,778,48.84
Jhargram,2001,Jhr-2001,11,Primary School 11,371,366,1,738,49.59
Jhargram,2001,Jhr-2001,12,Madrasa 12,287,266,1,554,48.01
Jhargram,2001,Jhr-2001,13,Govt Office 13,326,308,0,634,48.58
Jhargram,2001,Jhr-2001,14,Primary School 14,384,380,1,765,49.67
Jhargram,2001,Jhr-2001,15,Market Building 15,348,354,0,702,50.43
Jhargram,2001,Jhr-2001,16,Panchayat Bhavan 16,239,246,1,486,50.62
Jhargram,2001,Jhr-2001,17,Post Office 17,256,262,0,518,50.58
Jhargram,2001,Jhr-2001,18,Community Hall 18,285,281,1,567,49.56
Jhargram,2001,Jhr-2001,19,Post Office 19,380,382,1,763,50.07
Jhargram,2001,Jhr-2001,20,Market Building 20,354,342,1,697,49.07
Jhargram,2001,Jhr-2001,21,High School 21,315,307,0,622,49.36
Jhargram,2001,Jhr-2001,22,Market Building 22,377,363,0,740,49.05
Jhargram,2001,Jhr-2001,23,Panchayat Bhavan 23,274,270,0,544,49.63
Jhargram,2001,Jhr-2001,24,Community Hall 24,273,268,0,541,49.54
Jhargram,2001,Jhr-2001,25,Madrasa 25,323,292,1,616,47.4
Jhargram,2001,Jhr-2001,26,Post Office 26,285,258,0,543,47.51
Jhargram,2001,Jhr-2001,27,Club Building 27,394,361,0,755,47.81
Jhargram,2001,Jhr-2001,28,Primary School 28,401,406,0,807,50.31
Jhargram,2001,Jhr-2001,29,Govt Office 29,317,319,0,636,50.16
Jhargram,2001,Jhr-2001,30,Temple Hall 30,269,260,0,529,49.15
Jhargram,2001,Jhr-2001,31,Govt Office 31,270,262,0,532,49.25
Jhargram,2001,Jhr-2001,32,Club Building 32,314,321,0,635,50.55
Jhargram,2001,Jhr-2001,33,Post Office 33,375,355,1,731,48.56
Jhargram,2001,Jhr-2001,34,Madrasa 34,351,333,1,685,48.61
Jhargram,2001,Jhr-2001,35,Community Hall 35,305,306,0,611,50.08
Jhargram,2001,Jhr-2001,36,Market Building 36,304,276,0,580,47.59
Jhargram,2001,Jhr-2001,37,Club Building 37,376,343,0,719,47.71
Jhargram,2001,Jhr-2001,38,Temple Hall 38,321,327,0,648,50.46
Jhargram,2001,Jhr-2001,39,High School 39,374,365,1,740,49.32
Jhargram,2001,Jhr-2001,40,Club Building 40,395,407,0,802,50.75
Jhargram,2001,Jhr-2001,41,Anganwadi Centre 41,382,343,0,725,47.31
Jhargram,2001,Jhr-2001,42,Govt Office 42,388,389,0,777,50.06
Jhargram,2001,Jhr-2001,43,Health Sub-Centre 43,297,300,0,597,50.25
Jhargram,2001,Jhr-2001,44,High School 44,369,376,1,746,50.4
Jhargram,2001,Jhr-2001,45,High School 45,287,269,1,557,48.29
Jhargram,2001,Jhr-2001,46,Anganwadi Centre 46,284,272,1,557,48.83
Jhargram,2001,Jhr-2001,47,Post Office 47,266,267,1,534,50.0
Jhargram,2001,Jhr-2001,48,High School 48,368,372,0,740,50.27
Jhargram,2001,Jhr-2001,49,Post Office 49,370,371,0,741,50.07
Jhargram,2001,Jhr-2001,50,Health Sub-Centre 50,256,263,1,520,50.58
Jhargram,2001,Jhr-2001,51,High School 51,289,262,1,552,47.46
Jhargram,2001,Jhr-2001,52,High School 52,320,314,0,634,49.53
Jhargram,2001,Jhr-2001,53,Temple Hall 53,350,333,1,684,48.68
Jhargram,2001,Jhr-2001,54,Health Sub-Centre 54,332,338,0,670,50.45
Jhargram,2001,Jhr-2001,55,Madrasa 55,312,320,0,632,50.63
Jhargram,2001,Jhr-2001,56,Health Sub-Centre 56,346,325,1,672,48.36
Jhargram,2001,Jhr-2001,57,Primary School 57,336,332,0,668,49.7
Jhargram,2001,Jhr-2001,58,Post Office 58,269,246,1,516,47.67
Jhargram,2001,Jhr-2001,59,Primary School 59,330,322,0,652,49.39
Jhargram,2001,Jhr-2001,60,Primary School 60,274,273,1,548,49.82
Jhargram,2001,Jhr-2001,61,Club Building 61,324,317,1,642,49.38
Jhargram,2001,Jhr-2001,62,Temple Hall 62,375,355,0,730,48.63
Jhargram,2001,Jhr-2001,63,Temple Hall 63,291,301,1,593,50.76
Jhargram,2001,Jhr-2001,64,Health Sub-Centre 64,357,322,1,680,47.35
Jhargram,2001,Jhr-2001,65,High School 65,375,348,1,724,48.07
Jhargram,2001,Jhr-2001,66,Anganwadi Centre 66,338,305,0,643,47.43
Jhargram,2001,Jhr-2001,67,Post Office 67,256,249,1,506,49.21
Jhargram,2001,Jhr-2001,68,High School 68,244,236,0,480,49.17
Jhargram,2001,Jhr-2001,69,Post Office 69,396,400,1,797,50.19
Jhargram,2001,Jhr-2001,70,High School 70,339,310,0,649,47.77
Jhargram,2001,Jhr-2001,71,Market Building 71,298,269,0,567,47.44
Jhargram,2001,Jhr-2001,72,Madrasa 72,251,236,0,487,48.46
Jhargram,2001,Jhr-2001,73,Post Office 73,360,367,0,727,50.48
Jhargram,2001,Jhr-2001,74,Post Office 74,309,317,0,626,50.64
Jhargram,2001,Jhr-2001,75,Temple Hall 75,393,381,0,774,49.22
Jhargram,2001,Jhr-2001,76,Health Sub-Centre 76,352,320,0,672,47.62
Jhargram,2001,Jhr-2001,77,Primary School 77,248,254,1,503,50.5
Jhargram,2001,Jhr-2001,78,Post Office 78,366,329,0,695,47.34
Jhargram,2001,Jhr-2001,79,Market Building 79,383,362,1,746,48.53
Jhargram,2001,Jhr-2001,80,Club Building 80,255,233,0,488,47.75
