district,ac_code,ac_name,part_no,booth_name,male,female,third_gender,total,female_pct
Kalimpong,2201,Klp-2201,1,Market Building 1,411,399,0,810,49.26
Kalimpong,2201,Klp-2201,2,Community Hall 2,280,285,0,565,50.44
Kalimpong,2201,Klp-2201,3,Community Hall 3,359,323,1,683,47.29
Kalimpong,2201,Klp-2201,4,Madrasa 4,294,288,0,582,49.48
Kalimpong,2201,Klp-2201,5,Anganwadi Centre 5,333,336,0,669,50.22
Kalimpong,2201,Klp-2201,6,Health Sub-Centre 6,384,362,1,747,48.46
Kalimpong,2201,Klp-2201,7,Community Hall 7,264,240,1,505,47.52
Kalimpong,2201,Klp-2201,8,Community Hall 8,316,285,1,602,47.34
Kalimpong,2201,Klp-2201,9,Madrasa 9,347,329,0,676,48.67
Kalimpong,2201,Klp-2201,10,High School 10,390,379,1,770,49.22
Kalimpong,2201,Klp-2201,11,Market Building 11,366,373,1,740,50.41
Kalimpong,2201,Klp-2201,12,Primary School 12,358,368,0,726,50.69
Kalimpong,2201,Klp-2201,13,Anganwadi Centre 13,410,374,1,785,47.64
Kalimpong,2201,Klp-2201,14,Primary School 14,400,366,1,767,47.72
Kalimpong,2201,Klp-2201,15,Post Office 15,329,326,1,656,49.7
Kalimpong,2201,Klp-2201,16,Temple Hall 16,290,286,1,577,49.57
Kalimpong,2201,Klp-2201,17,Primary School 17,390,393,0,783,50.19
Kalimpong,2201,Klp-2201,18,Health Sub-Centre 18,364,370,1,735,50.34
Kalimpong,2201,Klp-2201,19,Madrasa 19,379,371,0,750,49.47
Kalimpong,2201,Klp-2201,20,Post Office 20,388,364,1,753,48.34
Kalimpong,2201,Klp-2201,21,Market Building 21,368,352,1,721,48.82
Kalimpong,2201,Klp-2201,22,Health Sub-Centre 22,271,259,0,530,48.87
Kalimpong,2201,Klp-2201,23,Post Office 23,349,337,0,686,49.13
Kalimpong,2201,Klp-2201,24,Panchayat Bhavan 24,240,245,0,485,50.52
Kalimpong,2201,Klp-2201,25,Temple Hall 25,389,398,1,788,50.51
Kalimpong,2201,Klp-2201,26,Club Building 26,391,354,1,746,47.45
Kalimpong,2201,Klp-2201,27,Post Office 27,328,304,1,633,48.03
Kalimpong,2201,Klp-2201,28,High School 28,375,381,1,757,50.33
Kalimpong,2201,Klp-2201,29,Madrasa 29,322,309,1,632,48.89
Kalimpong,2201,Klp-2201,30,Govt Office 30,411,369,1,781,47.25
Kalimpong,2201,Klp-2201,31,Club Building 31,277,251,1,529,47.45
Kalimpong,2201,Klp-2201,32,Health Sub-Centre 32,390,361,0,751,48.07
Kalimpong,2201,Klp-2201,33,Market Building 33,412,382,0,794,48.11
Kalimpong,2201,Klp-2201,34,Club Building 34,393,363,1,757,47.95
Kalimpong,2201,Klp-2201,35,Panchayat Bhavan 35,262,254,0,516,49.22
Kalimpong,2201,Klp-2201,36,Club Building 36,269,246,0,515,47.77
Kalimpong,2201,Klp-2201,37,Madrasa 37,402,380,0,782,48.59
Kalimpong,2201,Klp-2201,38,Club Building 38,311,304,1,616,49.35
Kalimpong,2201,Klp-2201,39,Govt Office 39,326,323,1,650,49.69
Kalimpong,2201,Klp-2201,40,Club Building 40,389,350,0,739,47.36
Kalimpong,2201,Klp-2201,41,Panchayat Bhavan 41,295,269,0,564,47.7
Kalimpong,2201,Klp-2201,42,Health Sub-Centre 42,343,336,0,679,49.48
Kalimpong,2201,Klp-2201,43,Govt Office 43,256,247,0,503,49.11
Kalimpong,2201,Klp-2201,44,High School 44,275,250,1,526,47.53
Kalimpong,2201,Klp-2201,45,Post Office 45,255,241,1,497,48.49
Kalimpong,2201,Klp-2201,46,Madrasa 46,341,306,1,648,47.22
Kalimpong,2201,Klp-2201,47,Anganwadi Centre 47,389,353,1,743,47.51
Kalimpong,2201,Klp-2201,48,Primary School 48,261,265,0,526,50.38
Kalimpong,2201,Klp-2201,49,Health Sub-Centre 49,387,385,1,773,49.81
Kalimpong,2201,Klp-2201,50,Primary School 50,337,343,1,681,50.37
Kalimpong,2201,Klp-2201,51,Post Office 51,255,253,0,508,49.8
Kalimpong,2201,Klp-2201,52,Post Office 52,402,379,0,781,48.53
Kalimpong,2201,Klp-2201,53,Primary School 53,253,232,0,485,47.84
Kalimpong,2201,Klp-2201,54,Post Office 54,401,392,0,793,49.43
Kalimpong,2201,Klp-2201,55,High School 55,267,239,0,506,47.23
Kalimpong,2201,Klp-2201,56,Anganwadi Centre 56,338,315,0,653,48.24
Kalimpong,2201,Klp-2201,57,Primary School 57,375,347,1,723,47.99
Kalimpong,2201,Klp-2201,58,High School 58,344,346,1,691,50.07
Kalimpong,2201,Klp-2201,59,Madrasa 59,319,292,1,612,47.71
Kalimpong,2201,Klp-2201,60,Club Building 60,318,302,1,621,48.63
Kalimpong,2201,Klp-2201,61,Temple Hall 61,283,262,0,545,48.07
Kalimpong,2201,Klp-2201,62,Madrasa 62,414,386,1,801,48.19
Kalimpong,2201,Klp-2201,63,Anganwadi Centre 63,252,246,1,499,49.3
Kalimpong,2201,Klp-2201,64,Madrasa 64,384,384,0,768,50.0
Kalimpong,2201,Klp-2201,65,Panchayat Bhavan 65,280,285,1,566,50.35
Kalimpong,2201,Klp-2201,66,Panchayat Bhavan 66,271,269,1,541,49.72
Kalimpong,2201,Klp-2201,67,Market Building 67,372,363,0,735,49.39
Kalimpong,2201,Klp-2201,68,Temple Hall 68,310,315,1,626,50.32
Kalimpong,2201,Klp-2201,69,Community Hall 69,246,237,1,484,48.97
Kalimpong,2201,Klp-2201,70,Post Office 70,370,332,0,702,47.29
Kalimpong,2201,Klp-2201,71,Post Office 71,348,322,0,670,48.06
Kalimpong,2201,Klp-2201,72,Primary School 72,291,266,0,557,47.76
Kalimpong,2201,Klp-2201,73,Post Office 73,411,390,0,801,48.69
Kalimpong,2201,Klp-2201,74,Community Hall 74,312,303,0,615,49.27
Kalimpong,2201,Klp-2201,75,Temple Hall 75,367,375,0,742,50.54
Kalimpong,2201,Klp-2201,76,Primary School 76,387,376,0,763,49.28
Kalimpong,2201,Klp-2201,77,Market Building 77,388,394,1,783,50.32
Kalimpong,2201,Klp-2201,78,Anganwadi Centre 78,407,392,1,800,49.0
Kalimpong,2201,Klp-2201,79,Madrasa 79,368,365,0,733,49.8
Kalimpong,2201,Klp-2201,80,Community Hall 80,415,403,0,818,49.27
Kalimpong,2201,Klp-2201,81,Panchayat Bhavan 81,318,294,0,612,48.04
Kalimpong,2201,Klp-2201,82,Market Building 82,317,304,1,622,48.87
Kalimpong,2201,Klp-2201,83,Health Sub-Centre 83,289,273,1,563,48.49
Kalimpong,2201,Klp-2201,84,Govt Office 84,246,237,0,483,49.07
Kalimpong,2201,Klp-2201,85,High School 85,404,381,0,785,48.54
Kalimpong,2201,Klp-2201,86,Club Building 86,362,355,0,717,49.51
Kalimpong,2201,Klp-2201,87,Madrasa 87,349,359,1,709,50.63
Kalimpong,2201,Klp-2201,88,Post Office 88,259,239,0,498,47.99
Kalimpong,2201,Klp-2201,89,Temple Hall 89,381,349,1,731,47.74
Kalimpong,2201,Klp-2201,90,High School 90,298,288,1,587,49.06
Kalimpong,2201,Klp-2201,91,Madrasa 91,256,265,0,521,50.86
Kalimpong,2201,Klp-2201,92,Temple Hall 92,365,362,1,728,49.73
Kalimpong,2201,Klp-2201,93,Club Building 93,271,267,1,539,49.54
Kalimpong,2201,Klp-2201,94,Temple Hall 94,374,346,0,720,48.06
Kalimpong,2201,Klp-2201,95,Madrasa 95,325,308,1,634,48.58
Kalimpong,2201,Klp-2201,96,Community Hall 96,362,339,1,702,48.29
Kalimpong,2201,Klp-2201,97,Club Building 97,368,357,0,725,49.24
Kalimpong,2201,Klp-2201,98,Market Building 98,391,373,1,765,48.76
Kalimpong,2202,Klp-2202,1,Primary School 1,350,327,1,678,48.23
Kalimpong,2202,Klp-2202,2,Post Office 2,277,283,1,561,50.45
Kalimpong,2202,Klp-2202,3,Temple Hall 3,381,376,1,758,49.6
Kalimpong,2202,Klp-2202,4,Temple Hall 4,337,313,1,651,48.08
Kalimpong,2202,Klp-2202,5,Club Building 5,341,348,1,690,50.43
Kalimpong,2202,Klp-2202,6,Panchayat Bhavan 6,288,259,1,548,47.26
Kalimpong,2202,Klp-2202,7,High School 7,412,378,0,790,47.85
Kalimpong,2202,Klp-2202,8,Post Office 8,270,277,1,548,50.55
Kalimpong,2202,Klp-2202,9,Post Office 9,402,415,0,817,50.8
Kalimpong,2202,Klp-2202,10,Madrasa 10,357,322,1,680,47.35
Kalimpong,2202,Klp-2202,11,Market Building 11,263,251,0,514,48.83
Kalimpong,2202,Klp-2202,12,High School 12,309,283,1,593,47.72
Kalimpong,2202,Klp-2202,13,Panchayat Bhavan 13,247,246,1,494,49.8
Kalimpong,2202,Klp-2202,14,Anganwadi Centre 14,388,357,0,745,47.92
Kalimpong,2202,Klp-2202,15,Temple Hall 15,417,377,1,795,47.42
Kalimpong,2202,Klp-2202,16,Govt Office 16,379,359,0,738,48.64
Kalimpong,2202,Klp-2202,17,Temple Hall 17,310,301,0,611,49.26
Kalimpong,2202,Klp-2202,18,Madrasa 18,392,379,1,772,49.09
Kalimpong,2202,Klp-2202,19,Club Building 19,346,332,1,679,48.9
Kalimpong,2202,Klp-2202,20,Community Hall 20,266,239,0,505,47.33
Kalimpong,2202,Klp-2202,21,Panchayat Bhavan 21,403,389,0,792,49.12
Kalimpong,2202,Klp-2202,22,Club Building 22,374,381,0,755,50.46
Kalimpong,2202,Klp-2202,23,Club Building 23,345,319,1,665,47.97
Kalimpong,2202,Klp-2202,24,Primary School 24,391,376,0,767,49.02
Kalimpong,2202,Klp-2202,25,Temple Hall 25,346,356,1,703,50.64
Kalimpong,2202,Klp-2202,26,Market Building 26,307,294,1,602,48.84
Kalimpong,2202,Klp-2202,27,Anganwadi Centre 27,327,315,0,642,49.07
Kalimpong,2202,Klp-2202,28,Panchayat Bhavan 28,333,304,1,638,47.65
Kalimpong,2202,Klp-2202,29,Community Hall 29,399,364,0,763,47.71
Kalimpong,2202,Klp-2202,30,Panchayat Bhavan 30,331,309,1,641,48.21
Kalimpong,2202,Klp-2202,31,Anganwadi Centre 31,347,315,0,662,47.58
Kalimpong,2202,Klp-2202,32,High School 32,308,283,0,591,47.88
Kalimpong,2202,Klp-2202,33,Club Building 33,360,349,1,710,49.15
Kalimpong,2202,Klp-2202,34,Club Building 34,302,280,0,582,48.11
Kalimpong,2202,Klp-2202,35,Madrasa 35,337,309,0,646,47.83
Kalimpong,2202,Klp-2202,36,Primary School 36,315,312,0,627,49.76
Kalimpong,2202,Klp-2202,37,Post Office 37,334,310,1,645,48.06
Kalimpong,2202,Klp-2202,38,Madrasa 38,307,309,1,617,50.08
Kalimpong,2202,Klp-2202,39,Temple Hall 39,309,285,1,595,47.9
Kalimpong,2202,Klp-2202,40,Panchayat Bhavan 40,313,285,1,599,47.58
Kalimpong,2202,Klp-2202,41,Post Office 41,332,316,1,649,48.69
Kalimpong,2202,Klp-2202,42,High School 42,327,300,0,627,47.85
Kalimpong,2202,Klp-2202,43,Club Building 43,344,341,0,685,49.78
