district,ac_code,ac_name,part_no,booth_name,male,female,third_gender,total,female_pct
Kolkata,2101,KOL-2101,1,Temple Hall 1,334,323,1,658,49.09
Kolkata,2101,KOL-2101,2,High School 2,253,236,1,490,48.16
Kolkata,2101,KOL-2101,3,Temple Hall 3,270,242,1,513,47.17
Kolkata,2101,KOL-2101,4,Community Hall 4,292,266,1,559,47.58
Kolkata,2101,KOL-2101,5,Primary School 5,349,345,0,694,49.71
Kolkata,2101,KOL-2101,6,Post Office 6,317,315,0,632,49.84
Kolkata,2101,KOL-2101,7,Club Building 7,303,310,1,614,50.49
Kolkata,2101,KOL-2101,8,Health Sub-Centre 8,383,394,0,777,50.71
Kolkata,2101,KOL-2101,9,Primary School 9,286,275,1,562,48.93
Kolkata,2101,KOL-2101,10,Primary School 10,328,307,0,635,48.35
Kolkata,2101,KOL-2101,11,Post Office 11,332,320,0,652,49.08
Kolkata,2101,KOL-2101,12,Community Hall 12,367,344,0,711,48.38
Kolkata,2101,KOL-2101,13,Govt Office 13,292,269,1,562,47.86
Kolkata,2101,KOL-2101,14,Madrasa 14,399,357,1,757,47.16
Kolkata,2101,KOL-2101,15,Govt Office 15,311,311,0,622,50.0
Kolkata,2101,KOL-2101,16,Post Office 16,362,337,1,700,48.14
Kolkata,2101,KOL-2101,17,Market Building 17,386,363,0,749,48.46
Kolkata,2101,KOL-2101,18,Market Building 18,295,296,1,592,50.0
Kolkata,2101,KOL-2101,19,Club Building 19,249,249,0,498,50.0
Kolkata,2101,KOL-2101,20,Primary School 20,333,345,1,679,50.81
Kolkata,2101,KOL-2101,21,Community Hall 21,248,246,1,495,49.7
Kolkata,2101,KOL-2101,22,Madrasa 22,419,393,1,813,48.34
Kolkata,2101,KOL-2101,23,Temple Hall 23,391,355,0,746,47.59
Kolkata,2101,KOL-2101,24,Govt Office 24,396,375,0,771,48.64
Kolkata,2101,KOL-2101,25,High School 25,252,249,1,502,49.6
Kolkata,2101,KOL-2101,26,Panchayat Bhavan 26,348,311,0,659,47.19
Kolkata,2101,KOL-2101,27,Community Hall 27,318,302,0,620,48.71
Kolkata,2101,KOL-2101,28,Post Office 28,296,282,1,579,48.7
Kolkata,2101,KOL-2101,29,Primary School 29,417,383,1,801,47.82
Kolkata,2101,KOL-2101,30,High School 30,295,277,0,572,48.43
Kolkata,2101,KOL-2101,31,Temple Hall 31,395,403,1,799,50.44
Kolkata,2101,KOL-2101,32,Market Building 32,256,255,1,512,49.8
Kolkata,2101,KOL-2101,33,Post Office 33,280,273,0,553,49.37
Kolkata,2101,KOL-2101,34,Panchayat Bhavan 34,278,260,0,538,48.33
Kolkata,2101,KOL-2101,35,Anganwadi Centre 35,347,323,0,670,48.21
Kolkata,2101,KOL-2101,36,Post Office 36,238,245,1,484,50.62
Kolkata,2101,KOL-2101,37,High School 37,355,342,1,698,49.0
Kolkata,2101,KOL-2101,38,Club Building 38,284,266,0,550,48.36
Kolkata,2101,KOL-2101,39,Club Building 39,255,242,1,498,48.59
Kolkata,2101,KOL-2101,40,Market Building 40,402,408,1,811,50.31
Kolkata,2101,KOL-2101,41,Temple Hall 41,364,348,1,713,48.81
Kolkata,2101,KOL-2101,42,Health Sub-Centre 42,253,242,0,495,48.89
Kolkata,2101,KOL-2101,43,Post Office 43,379,355,1,735,48.3
Kolkata,2101,KOL-2101,44,Post Office 44,355,354,0,709,49.93
Kolkata,2101,KOL-2101,45,Community Hall 45,396,371,0,767,48.37
Kolkata,2101,KOL-2101,46,Madrasa 46,355,332,0,687,48.33
Kolkata,2101,KOL-2101,47,High School 47,321,323,1,645,50.08
Kolkata,2101,KOL-2101,48,Anganwadi Centre 48,327,323,0,650,49.69
Kolkata,2101,KOL-2101,49,Community Hall 49,387,358,1,746,47.99
Kolkata,2101,KOL-2101,50,Market Building 50,302,271,0,573,47.29
Kolkata,2101,KOL-2101,51,High School 51,417,394,1,812,48.52
Kolkata,2101,KOL-2101,52,Panchayat Bhavan 52,304,273,0,577,47.31
Kolkata,2101,KOL-2101,53,Health Sub-Centre 53,362,329,0,691,47.61
Kolkata,2101,KOL-2101,54,Community Hall 54,396,395,1,792,49.87
Kolkata,2101,KOL-2101,55,High School 55,399,363,1,763,47.58
Kolkata,2101,KOL-2101,56,Club Building 56,320,294,1,615,47.8
Kolkata,2101,KOL-2101,57,Panchayat Bhavan 57,366,377,0,743,50.74
Kolkata,2101,KOL-2101,58,Anganwadi Centre 58,357,364,0,721,50.49
Kolkata,2101,KOL-2101,59,Club Building 59,257,260,0,517,50.29
Kolkata,2101,KOL-2101,60,Madrasa 60,257,259,1,517,50.1
Kolkata,2101,KOL-2101,61,High School 61,410,369,1,780,47.31
Kolkata,2101,KOL-2101,62,Primary School 62,267,249,0,516,48.26
Kolkata,2101,KOL-2101,63,Govt Office 63,289,273,1,563,48.49
Kolkata,2101,KOL-2101,64,Post Office 64,339,339,1,679,49.93
Kolkata,2101,KOL-2101,65,High School 65,427,393,0,820,47.93
Kolkata,2101,KOL-2101,66,Madrasa 66,385,375,1,761,49.28
Kolkata,2101,KOL-2101,67,Panchayat Bhavan 67,244,236,1,481,49.06
Kolkata,2101,KOL-2101,68,Primary School 68,354,326,0,680,47.94
Kolkata,2101,KOL-2101,69,Temple Hall 69,359,365,1,725,50.34
Kolkata,2101,KOL-2101,70,Govt Office 70,300,292,0,592,49.32
Kolkata,2101,KOL-2101,71,Club Building 71,309,284,0,593,47.89
Kolkata,2101,KOL-2101,72,Temple Hall 72,252,245,0,497,49.3
Kolkata,2101,KOL-2101,73,Market Building 73,386,380,1,767,49.54
Kolkata,2101,KOL-2101,74,High School 74,323,305,0,628,48.57
Kolkata,2101,KOL-2101,75,Health Sub-Centre 75,386,371,0,757,49.01
Kolkata,2101,KOL-2101,76,Health Sub-Centre 76,289,283,0,572,49.48
Kolkata,2101,KOL-2101,77,Panchayat Bhavan 77,362,356,0,718,49.58
Kolkata,2101,KOL-2101,78,Govt Office 78,267,248,1,516,48.06
Kolkata,2101,KOL-2101,79,High School 79,381,364,1,746,48.79
Kolkata,2101,KOL-2101,80,Primary School 80,321,300,0,621,48.31
