district,ac_code,ac_name,part_no,booth_name,male,female,third_gender,total,female_pct
Malda,801,Malda-801,1,High School 1,331,300,1,632,47.47
Malda,801,Malda-801,2,Club Building 2,279,260,0,539,48.24
Malda,801,Malda-801,3,High School 3,315,289,1,605,47.77
Malda,801,Malda-801,4,Post Office 4,385,349,1,735,47.48
Malda,801,Malda-801,5,Club Building 5,380,341,1,722,47.23
Malda,801,Malda-801,6,Market Building 6,406,376,1,783,48.02
Malda,801,Malda-801,7,Market Building 7,333,312,0,645,48.37
Malda,801,Malda-801,8,Post Office 8,403,393,1,797,49.31
Malda,801,Malda-801,9,Anganwadi Centre 9,355,321,0,676,47.49
Malda,801,Malda-801,10,Anganwadi Centre 10,257,235,0,492,47.76
Malda,801,Malda-801,11,Health Sub-Centre 11,387,383,1,771,49.68
Malda,801,Malda-801,12,Madrasa 12,293,289,0,582,49.66
Malda,801,Malda-801,13,Post Office 13,383,361,0,744,48.52
Malda,801,Malda-801,14,Primary School 14,402,400,0,802,49.88
Malda,801,Malda-801,15,Madrasa 15,403,399,0,802,49.75
Malda,801,Malda-801,16,Temple Hall 16,330,332,1,663,50.08
Malda,801,Malda-801,17,Club Building 17,320,300,1,621,48.31
Malda,801,Malda-801,18,Anganwadi Centre 18,273,249,1,523,47.61
Malda,801,Malda-801,19,Govt Office 19,403,412,0,815,50.55
Malda,801,Malda-801,20,Post Office 20,333,344,1,678,50.74
Malda,801,Malda-801,21,Anganwadi Centre 21,333,332,0,665,49.92
Malda,801,Malda-801,22,Post Office 22,359,343,0,702,48.86
Malda,801,Malda-801,23,Anganwadi Centre 23,250,234,1,485,48.25
Malda,801,Malda-801,24,Anganwadi Centre 24,371,336,0,707,47.52
Malda,801,Malda-801,25,Madrasa 25,373,359,0,732,49.04
Malda,801,Malda-801,26,Panchayat Bhavan 26,320,305,0,625,48.8
Malda,801,Malda-801,27,Market Building 27,248,239,0,487,49.08
Malda,801,Malda-801,28,Temple Hall 28,284,277,0,561,49.38
Malda,801,Malda-801,29,Club Building 29,335,344,0,679,50.66
Malda,801,Malda-801,30,Club Building 30,339,307,0,646,47.52
Malda,801,Malda-801,31,Anganwadi Centre 31,387,347,0,734,47.28
Malda,801,Malda-801,32,Club Building 32,393,389,1,783,49.68
Malda,801,Malda-801,33,Panchayat Bhavan 33,358,364,0,722,50.42
Malda,801,Malda-801,34,Temple Hall 34,346,318,0,664,47.89
Malda,801,Malda-801,35,Post Office 35,307,283,0,590,47.97
Malda,801,Malda-801,36,Govt Office 36,390,390,0,780,50.0
Malda,801,Malda-801,37,Anganwadi Centre 37,332,334,0,666,50.15
Malda,801,Malda-801,38,Temple Hall 38,285,272,0,557,48.83
Malda,801,Malda-801,39,High School 39,296,286,1,583,49.06
Malda,801,Malda-801,40,Anganwadi Centre 40,377,357,0,734,48.64
Malda,801,Malda-801,41,Club Building 41,368,370,1,739,50.07
Malda,801,Malda-801,42,Panchayat Bhavan 42,242,240,0,482,49.79
Malda,801,Malda-801,43,High School 43,352,347,1,700,49.57
Malda,801,Malda-801,44,Panchayat Bhavan 44,396,364,1,761,47.83
Malda,801,Malda-801,45,Community Hall 45,285,292,0,577,50.61
Malda,801,Malda-801,46,Community Hall 46,377,389,1,767,50.72
Malda,801,Malda-801,47,Govt Office 47,328,295,0,623,47.35
Malda,801,Malda-801,48,Market Building 48,351,327,0,678,48.23
Malda,801,Malda-801,49,Madrasa 49,288,268,1,557,48.11
Malda,801,Malda-801,50,Health Sub-Centre 50,339,315,0,654,48.17
Malda,801,Malda-801,51,Club Building 51,344,354,1,699,50.64
Malda,801,Malda-801,52,Market Building 52,387,395,0,782,50.51
Malda,801,Malda-801,53,Anganwadi Centre 53,360,332,1,693,47.91
Malda,801,Malda-801,54,Madrasa 54,280,261,1,542,48.15
Malda,801,Malda-801,55,Temple Hall 55,321,299,0,620,48.23
Malda,801,Malda-801,56,Panchayat Bhavan 56,272,250,0,522,47.89
Malda,801,Malda-801,57,Primary School 57,305,295,0,600,49.17
Malda,801,Malda-801,58,Govt Office 58,392,387,1,780,49.62
Malda,801,Malda-801,59,Club Building 59,242,241,1,484,49.79
Malda,801,Malda-801,60,Panchayat Bhavan 60,391,393,1,785,50.06
Malda,801,Malda-801,61,Health Sub-Centre 61,344,329,1,674,48.81
Malda,801,Malda-801,62,Post Office 62,421,395,1,817,48.35
Malda,801,Malda-801,63,Health Sub-Centre 63,320,310,0,630,49.21
Malda,801,Malda-801,64,Post Office 64,261,249,1,511,48.73
Malda,801,Malda-801,65,Anganwadi Centre 65,296,269,1,566,47.53
Malda,801,Malda-801,66,Health Sub-Centre 66,309,315,0,624,50.48
Malda,801,Malda-801,67,Market Building 67,404,407,1,812,50.12
Malda,801,Malda-801,68,Govt Office 68,288,269,0,557,48.29
Malda,801,Malda-801,69,Market Building 69,416,383,1,800,47.88
Malda,801,Malda-801,70,High School 70,252,251,0,503,49.9
Malda,801,Malda-801,71,Madrasa 71,326,292,1,619,47.17
Malda,801,Malda-801,72,Market Building 72,384,370,1,755,49.01
Malda,801,Malda-801,73,Madrasa 73,389,391,0,780,50.13
Malda,801,Malda-801,74,Post Office 74,327,308,1,636,48.43
Malda,801,Malda-801,75,Panchayat Bhavan 75,273,253,1,527,48.01
Malda,801,Malda-801,76,Health Sub-Centre 76,364,350,1,715,48.95
Malda,801,Malda-801,77,Health Sub-Centre 77,343,316,0,659,47.95
Malda,801,Malda-801,78,Panchayat Bhavan 78,414,378,1,793,47.67
Malda,801,Malda-801,79,Govt Office 79,318,329,0,647,50.85
Malda,801,Malda-801,80,Panchayat Bhavan 80,286,292,1,579,50.43
Malda,801,Malda-801,81,Club Building 81,267,269,1,537,50.09
Malda,801,Malda-801,82,Anganwadi Centre 82,359,370,0,729,50.75
Malda,801,Malda-801,83,Temple Hall 83,255,245,0,500,49.0
Malda,801,Malda-801,84,Anganwadi Centre 84,276,278,0,554,50.18
Malda,801,Malda-801,85,Govt Office 85,353,338,0,691,48.91
Malda,801,Malda-801,86,Panchayat Bhavan 86,270,276,0,546,50.55
Malda,801,Malda-801,87,Community Hall 87,271,247,0,518,47.68
Malda,801,Malda-801,88,Anganwadi Centre 88,290,299,0,589,50.76
Malda,801,Malda-801,89,High School 89,370,356,0,726,49.04
Malda,801,Malda-801,90,Temple Hall 90,401,402,0,803,50.06
Malda,801,Malda-801,91,Community Hall 91,349,329,1,679,48.45
Malda,801,Malda-801,92,Panchayat Bhavan 92,275,261,0,536,48.69
Malda,801,Malda-801,93,Panchayat Bhavan 93,398,404,0,802,50.37
Malda,801,Malda-801,94,Club Building 94,342,353,0,695,50.79
Malda,801,Malda-801,95,High School 95,268,264,1,533,49.53
Malda,801,Malda-801,96,Madrasa 96,384,354,0,738,47.97
Malda,801,Malda-801,97,Post Office 97,289,274,0,563,48.67
Malda,801,Malda-801,98,Club Building 98,370,361,1,732,49.32
Malda,801,Malda-801,99,Panchayat Bhavan 99,260,239,0,499,47.9
Malda,801,Malda-801,100,Market Building 100,412,383,1,796,48.12
Malda,801,Malda-801,101,Panchayat Bhavan 101,329,311,1,641,48.52
Malda,801,Malda-801,102,Primary School 102,266,253,1,520,48.65
Malda,801,Malda-801,103,Anganwadi Centre 103,366,363,1,730,49.73
Malda,801,Malda-801,104,Primary School 104,410,393,0,803,48.94
Malda,801,Malda-801,105,Post Office 105,384,385,1,770,50.0
Malda,801,Malda-801,106,Temple Hall 106,390,380,1,771,49.29
Malda,801,Malda-801,107,Govt Office 107,264,239,0,503,47.51
Malda,801,Malda-801,108,Health Sub-Centre 108,371,366,1,738,49.59
Malda,801,Malda-801,109,Madrasa 109,280,266,1,547,48.63
Malda,801,Malda-801,110,Primary School 110,407,403,1,811,49.69
Malda,801,Malda-801,111,Club Building 111,251,256,1,508,50.39
Malda,801,Malda-801,112,Govt Office 112,372,380,0,752,50.53
Malda,801,Malda-801,113,Health Sub-Centre 113,321,313,0,634,49.37
Malda,801,Malda-801,114,Govt Office 114,356,331,1,688,48.11
Malda,801,Malda-801,115,Market Building 115,262,240,1,503,47.71
Malda,801,Malda-801,116,Anganwadi Centre 116,261,261,0,522,50.0
Malda,801,Malda-801,117,Panchayat Bhavan 117,355,355,1,711,49.93
Malda,801,Malda-801,118,Primary School 118,292,270,0,562,48.04
Malda,801,Malda-801,119,Primary School 119,397,357,1,755,47.28
Malda,801,Malda-801,120,Madrasa 120,412,382,0,794,48.11
Malda,801,Malda-801,121,Madrasa 121,275,272,0,547,49.73
Malda,801,Malda-801,122,Market Building 122,403,380,0,783,48.53
Malda,801,Malda-801,123,Temple Hall 123,395,371,1,767,48.37
Malda,801,Malda-801,124,Primary School 124,401,376,1,778,48.33
Malda,801,Malda-801,125,Anganwadi Centre 125,387,351,1,739,47.5
Malda,801,Malda-801,126,Post Office 126,258,242,1,501,48.3
Malda,801,Malda-801,127,Madrasa 127,350,330,1,681,48.46
Malda,801,Malda-801,128,Community Hall 128,334,330,0,664,49.7
Malda,801,Malda-801,129,Primary School 129,339,307,0,646,47.52
Malda,801,Malda-801,130,Health Sub-Centre 130,341,307,0,648,47.38
Malda,801,Malda-801,131,Market Building 131,276,267,1,544,49.08
Malda,801,Malda-801,132,Health Sub-Centre 132,374,341,0,715,47.69
Malda,801,Malda-801,133,Primary School 133,272,250,1,523,47.8
Malda,801,Malda-801,134,Community Hall 134,263,239,0,502,47.61
Malda,801,Malda-801,135,Anganwadi Centre 135,301,277,0,578,47.92
Malda,801,Malda-801,136,Temple Hall 136,364,367,1,732,50.14
Malda,801,Malda-801,137,Market Building 137,343,316,1,660,47.88
Malda,801,Malda-801,138,Primary School 138,366,346,0,712,48.6
Malda,801,Malda-801,139,Market Building 139,394,384,1,779,49.29
Malda,801,Malda-801,140,Community Hall 140,280,279,0,559,49.91
Malda,801,Malda-801,141,Panchayat Bhavan 141,346,321,1,668,48.05
Malda,801,Malda-801,142,Health Sub-Centre 142,333,341,0,674,50.59
Malda,801,Malda-801,143,Anganwadi Centre 143,363,344,0,707,48.66
Malda,801,Malda-801,144,Anganwadi Centre 144,253,228,0,481,47.4
Malda,801,Malda-801,145,Temple Hall 145,348,338,1,687,49.2
Malda,801,Malda-801,146,Community Hall 146,251,232,1,484,47.93
Malda,801,Malda-801,147,Madrasa 147,288,276,0,564,48.94
Malda,801,Malda-801,148,High School 148,336,317,0,653,48.55
Malda,801,Malda-801,149,Market Building 149,317,305,0,622,49.04
Malda,801,Malda-801,150,High School 150,268,269,1,538,50.0
Malda,801,Malda-801,151,Temple Hall 151,254,235,0,489,48.06
Malda,801,Malda-801,152,Primary School 152,243,246,0,489,50.31
Malda,801,Malda-801,153,Community Hall 153,390,365,0,755,48.34
Malda,801,Malda-801,154,Anganwadi Centre 154,366,350,1,717,48.81
Malda,801,Malda-801,155,Govt Office 155,343,339,1,683,49.63
Malda,801,Malda-801,156,Health Sub-Centre 156,379,377,0,756,49.87
Malda,801,Malda-801,157,Anganwadi Centre 157,363,355,0,718,49.44
Malda,801,Malda-801,158,Panchayat Bhavan 158,285,294,1,580,50.69
Malda,801,Malda-801,159,Madrasa 159,314,319,1,634,50.32
Malda,801,Malda-801,160,Market Building 160,260,246,0,506,48.62
Malda,801,Malda-801,161,Community Hall 161,358,350,1,709,49.37
Malda,801,Malda-801,162,Govt Office 162,338,340,1,679,50.07
Malda,801,Malda-801,163,Club Building 163,292,294,1,587,50.09
Malda,801,Malda-801,164,Community Hall 164,244,249,1,494,50.4
Malda,801,Malda-801,165,Community Hall 165,368,348,0,716,48.6
Malda,801,Malda-801,166,Panchayat Bhavan 166,312,310,0,622,49.84
Malda,801,Malda-801,167,Anganwadi Centre 167,304,277,1,582,47.59
Malda,801,Malda-801,168,High School 168,336,331,1,668,49.55
Malda,801,Malda-801,169,Madrasa 169,298,269,1,568,47.36
Malda,801,Malda-801,170,Govt Office 170,407,391,1,799,48.94
Malda,801,Malda-801,171,Panchayat Bhavan 171,314,290,1,605,47.93
Malda,801,Malda-801,172,Temple Hall 172,340,320,1,661,48.41
Malda,801,Malda-801,173,Govt Office 173,298,295,1,594,49.66
Malda,801,Malda-801,174,Health Sub-Centre 174,248,243,0,491,49.49
Malda,801,Malda-801,175,Post Office 175,305,289,1,595,48.57
Malda,801,Malda-801,176,High School 176,320,318,0,638,49.84
Malda,801,Malda-801,177,Govt Office 177,374,379,1,754,50.27
Malda,801,Malda-801,178,Madrasa 178,282,272,1,555,49.01
Malda,801,Malda-801,179,Post Office 179,371,380,1,752,50.53
Malda,801,Malda-801,180,Govt Office 180,375,351,1,727,48.28
Malda,801,Malda-801,181,Anganwadi Centre 181,250,255,0,505,50.5
Malda,801,Malda-801,182,Temple Hall 182,339,314,0,653,48.09
Malda,801,Malda-801,183,Panchayat Bhavan 183,341,343,0,684,50.15
Malda,801,Malda-801,184,Anganwadi Centre 184,396,370,1,767,48.24
Malda,802,Malda-802,1,Market Building 1,401,373,1,775,48.13
Malda,802,Malda-802,2,Panchayat Bhavan 2,318,293,0,611,47.95
Malda,802,Malda-802,3,Panchayat Bhavan 3,278,269,1,548,49.09
Malda,802,Malda-802,4,Community Hall 4,394,373,0,767,48.63
Malda,802,Malda-802,5,Panchayat Bhavan 5,405,400,1,806,49.63
Malda,802,Malda-802,6,Market Building 6,325,301,0,626,48.08
