district,ac_code,ac_name,part_no,booth_name,male,female,third_gender,total,female_pct
Murshidabad,153,Farakka,1,Govt Office 1,395,368,0,763,48.23
Murshidabad,153,Farakka,2,Temple Hall 2,322,293,0,615,47.64
Murshidabad,153,Farakka,3,Anganwadi Centre 3,398,364,1,763,47.71
Murshidabad,153,Farakka,4,Market Building 4,295,292,0,587,49.74
Murshidabad,153,Farakka,5,Community Hall 5,399,404,1,804,50.25
Murshidabad,153,Farakka,6,Community Hall 6,264,241,1,506,47.63
Murshidabad,153,Farakka,7,Market Building 7,265,237,0,502,47.21
Murshidabad,153,Farakka,8,Health Sub-Centre 8,320,293,1,614,47.72
Murshidabad,153,Farakka,9,High School 9,354,344,0,698,49.28
Murshidabad,153,Farakka,10,Anganwadi Centre 10,282,273,1,556,49.1
Murshidabad,153,Farakka,11,Primary School 11,398,364,0,762,47.77
Murshidabad,153,Farakka,12,Madrasa 12,328,309,0,637,48.51
Murshidabad,153,Farakka,13,Madrasa 13,296,291,0,587,49.57
Murshidabad,153,Farakka,14,Anganwadi Centre 14,379,386,1,766,50.39
Murshidabad,153,Farakka,15,Govt Office 15,277,282,0,559,50.45
Murshidabad,153,Farakka,16,Govt Office 16,283,287,0,570,50.35
Murshidabad,153,Farakka,17,Market Building 17,324,325,1,650,50.0
Murshidabad,153,Farakka,18,Club Building 18,315,292,0,607,48.11
Murshidabad,153,Farakka,19,Panchayat Bhavan 19,248,251,0,499,50.3
Murshidabad,153,Farakka,20,Panchayat Bhavan 20,369,346,0,715,48.39
Murshidabad,153,Farakka,21,Madrasa 21,247,244,1,492,49.59
Murshidabad,153,Farakka,22,Madrasa 22,308,313,1,622,50.32
Murshidabad,153,Farakka,23,Primary School 23,411,396,1,808,49.01
Murshidabad,153,Farakka,24,Govt Office 24,267,271,1,539,50.28
Murshidabad,153,Farakka,25,Primary School 25,382,394,1,777,50.71
Murshidabad,153,Farakka,26,Temple Hall 26,270,264,1,535,49.35
Murshidabad,153,Farakka,27,Club Building 27,328,312,0,640,48.75
Murshidabad,153,Farakka,28,Temple Hall 28,404,371,0,775,47.87
Murshidabad,153,Farakka,29,Madrasa 29,371,332,0,703,47.23
Murshidabad,153,Farakka,30,Anganwadi Centre 30,367,332,1,700,47.43
Murshidabad,153,Farakka,31,Temple Hall 31,323,317,0,640,49.53
Murshidabad,153,Farakka,32,Madrasa 32,322,310,1,633,48.97
Murshidabad,153,Farakka,33,Panchayat Bhavan 33,345,341,0,686,49.71
Murshidabad,153,Farakka,34,Market Building 34,349,345,1,695,49.64
Murshidabad,153,Farakka,35,Club Building 35,287,281,1,569,49.38
Murshidabad,153,Farakka,36,Community Hall 36,377,382,1,760,50.26
Murshidabad,153,Farakka,37,Post Office 37,300,286,1,587,48.72
Murshidabad,153,Farakka,38,Health Sub-Centre 38,362,344,0,706,48.73
Murshidabad,153,Farakka,39,Market Building 39,361,361,0,722,50.0
Murshidabad,153,Farakka,40,High School 40,270,252,1,523,48.18
Murshidabad,153,Farakka,41,Panchayat Bhavan 41,302,298,0,600,49.67
Murshidabad,153,Farakka,42,Post Office 42,293,262,0,555,47.21
Murshidabad,153,Farakka,43,Post Office 43,394,398,0,792,50.25
Murshidabad,153,Farakka,44,Temple Hall 44,343,349,0,692,50.43
Murshidabad,153,Farakka,45,Govt Office 45,345,331,0,676,48.96
Murshidabad,153,Farakka,46,Club Building 46,410,405,0,815,49.69
Murshidabad,153,Farakka,47,Primary School 47,308,283,1,592,47.8
Murshidabad,153,Farakka,48,Post Office 48,397,368,0,765,48.1
Murshidabad,153,Farakka,49,Post Office 49,273,274,1,548,50.0
Murshidabad,153,Farakka,50,Health Sub-Centre 50,394,398,1,793,50.19
Murshidabad,153,Farakka,51,Post Office 51,350,357,1,708,50.42
Murshidabad,153,Farakka,52,Health Sub-Centre 52,306,305,1,612,49.84
Murshidabad,153,Farakka,53,Post Office 53,367,360,1,728,49.45
Murshidabad,153,Farakka,54,Community Hall 54,261,258,0,519,49.71
Murshidabad,153,Farakka,55,Govt Office 55,336,315,0,651,48.39
Murshidabad,153,Farakka,56,Temple Hall 56,289,268,0,557,48.11
Murshidabad,153,Farakka,57,Madrasa 57,309,279,1,589,47.37
Murshidabad,153,Farakka,58,Panchayat Bhavan 58,387,370,0,757,48.88
Murshidabad,153,Farakka,59,Anganwadi Centre 59,357,338,0,695,48.63
Murshidabad,153,Farakka,60,Community Hall 60,343,330,1,674,48.96
Murshidabad,153,Farakka,61,Health Sub-Centre 61,337,341,1,679,50.22
Murshidabad,153,Farakka,62,Post Office 62,379,380,0,759,50.07
Murshidabad,153,Farakka,63,Primary School 63,306,285,1,592,48.14
Murshidabad,153,Farakka,64,Temple Hall 64,349,329,1,679,48.45
Murshidabad,153,Farakka,65,Anganwadi Centre 65,281,283,0,564,50.18
Murshidabad,153,Farakka,66,Anganwadi Centre 66,396,356,1,753,47.28
Murshidabad,153,Farakka,67,Market Building 67,387,381,0,768,49.61
Murshidabad,153,Farakka,68,Govt Office 68,365,333,1,699,47.64
Murshidabad,153,Farakka,69,Panchayat Bhavan 69,261,243,1,505,48.12
Murshidabad,153,Farakka,70,Community Hall 70,367,344,1,712,48.31
Murshidabad,153,Farakka,71,Post Office 71,361,334,0,695,48.06
Murshidabad,153,Farakka,72,Madrasa 72,245,244,0,489,49.9
Murshidabad,153,Farakka,73,Primary School 73,300,294,0,594,49.49
Murshidabad,153,Farakka,74,Anganwadi Centre 74,316,290,0,606,47.85
Murshidabad,153,Farakka,75,Market Building 75,289,268,1,558,48.03
Murshidabad,153,Farakka,76,Post Office 76,273,265,0,538,49.26
Murshidabad,153,Farakka,77,Anganwadi Centre 77,306,305,0,611,49.92
Murshidabad,153,Farakka,78,Govt Office 78,390,400,0,790,50.63
Murshidabad,153,Farakka,79,Community Hall 79,335,304,0,639,47.57
Murshidabad,153,Farakka,80,Club Building 80,389,384,1,774,49.61
Murshidabad,153,Farakka,81,High School 81,305,276,0,581,47.5
Murshidabad,153,Farakka,82,Anganwadi Centre 82,315,319,0,634,50.32
Murshidabad,153,Farakka,83,Market Building 83,257,243,1,501,48.5
Murshidabad,153,Farakka,84,Primary School 84,351,317,1,669,47.38
Murshidabad,153,Farakka,85,Club Building 85,346,349,0,695,50.22
Murshidabad,153,Farakka,86,Temple Hall 86,335,329,1,665,49.47
Murshidabad,153,Farakka,87,Anganwadi Centre 87,285,272,1,558,48.75
Murshidabad,153,Farakka,88,Club Building 88,377,377,1,755,49.93
Murshidabad,153,Farakka,89,High School 89,406,377,0,783,48.15
Murshidabad,153,Farakka,90,Post Office 90,309,313,0,622,50.32
Murshidabad,153,Farakka,91,Madrasa 91,389,381,1,771,49.42
Murshidabad,153,Farakka,92,Govt Office 92,251,242,1,494,48.99
Murshidabad,153,Farakka,93,Madrasa 93,378,350,1,729,48.01
Murshidabad,153,Farakka,94,Health Sub-Centre 94,308,314,1,623,50.4
Murshidabad,153,Farakka,95,High School 95,247,238,0,485,49.07
Murshidabad,153,Farakka,96,Health Sub-Centre 96,302,300,1,603,49.75
Murshidabad,153,Farakka,97,Post Office 97,302,300,1,603,49.75
Murshidabad,153,Farakka,98,Club Building 98,256,232,0,488,47.54
Murshidabad,153,Farakka,99,Post Office 99,311,292,1,604,48.34
Murshidabad,153,Farakka,100,Temple Hall 100,387,375,1,763,49.15
Murshidabad,153,Farakka,101,Community Hall 101,392,368,1,761,48.36
Murshidabad,153,Farakka,102,Temple Hall 102,330,306,0,636,48.11
Murshidabad,153,Farakka,103,Panchayat Bhavan 103,299,279,0,578,48.27
Murshidabad,153,Farakka,104,Temple Hall 104,295,294,1,590,49.83
Murshidabad,153,Farakka,105,High School 105,384,396,1,781,50.7
Murshidabad,153,Farakka,106,Govt Office 106,299,279,1,579,48.19
Murshidabad,153,Farakka,107,Community Hall 107,334,300,0,634,47.32
Murshidabad,153,Farakka,108,Temple Hall 108,247,255,1,503,50.7
Murshidabad,153,Farakka,109,High School 109,274,269,1,544,49.45
Murshidabad,153,Farakka,110,Post Office 110,246,239,1,486,49.18
Murshidabad,153,Farakka,111,Community Hall 111,364,341,0,705,48.37
Murshidabad,153,Farakka,112,Club Building 112,379,345,0,724,47.65
Murshidabad,153,Farakka,113,Govt Office 113,384,347,0,731,47.47
Murshidabad,153,Farakka,114,High School 114,276,279,1,556,50.18
