district,ac_code,ac_name,part_no,booth_name,male,female,third_gender,total,female_pct
Nadia,501,Nadia-501,1,Post Office 1,361,362,1,724,50.0
Nadia,501,Nadia-501,2,High School 2,354,329,1,684,48.1
Nadia,501,Nadia-501,3,Community Hall 3,296,286,1,583,49.06
Nadia,501,Nadia-501,4,Club Building 4,382,384,0,766,50.13
Nadia,501,Nadia-501,5,Anganwadi Centre 5,252,238,1,491,48.47
Nadia,501,Nadia-501,6,High School 6,369,375,1,745,50.34
Nadia,501,Nadia-501,7,Panchayat Bhavan 7,356,321,0,677,47.42
Nadia,501,Nadia-501,8,High School 8,271,245,0,516,47.48
Nadia,501,Nadia-501,9,Madrasa 9,243,236,1,480,49.17
Nadia,501,Nadia-501,10,Govt Office 10,339,310,1,650,47.69
Nadia,501,Nadia-501,11,Market Building 11,253,260,1,514,50.58
Nadia,501,Nadia-501,12,Health Sub-Centre 12,353,325,0,678,47.94
Nadia,501,Nadia-501,13,Panchayat Bhavan 13,319,325,0,644,50.47
Nadia,501,Nadia-501,14,Club Building 14,377,364,1,742,49.06
Nadia,501,Nadia-501,15,Health Sub-Centre 15,402,364,0,766,47.52
Nadia,501,Nadia-501,16,Market Building 16,254,229,1,484,47.31
Nadia,501,Nadia-501,17,Govt Office 17,276,247,0,523,47.23
Nadia,501,Nadia-501,18,Market Building 18,363,333,0,696,47.84
Nadia,501,Nadia-501,19,Govt Office 19,261,261,1,523,49.9
Nadia,501,Nadia-501,20,Anganwadi Centre 20,347,352,0,699,50.36
Nadia,501,Nadia-501,21,Market Building 21,360,332,0,692,47.98
Nadia,501,Nadia-501,22,Club Building 22,256,257,0,513,50.1
Nadia,501,Nadia-501,23,Club Building 23,319,295,1,615,47.97
Nadia,501,Nadia-501,24,Panchayat Bhavan 24,288,297,1,586,50.68
Nadia,501,Nadia-501,25,High School 25,361,373,1,735,50.75
Nadia,501,Nadia-501,26,High School 26,298,271,0,569,47.63
Nadia,501,Nadia-501,27,Market Building 27,289,268,0,557,48.11
