district,ac_code,ac_name,part_no,booth_name,male,female,third_gender,total,female_pct
North 24 Parganas,101,N24P-101,1,Health Sub-Centre 1,356,319,0,675,47.26
North 24 Parganas,101,N24P-101,2,Madrasa 2,419,392,1,812,48.28
North 24 Parganas,101,N24P-101,3,Temple Hall 3,329,320,0,649,49.31
North 24 Parganas,101,N24P-101,4,Health Sub-Centre 4,380,370,1,751,49.27
North 24 Parganas,101,N24P-101,5,Anganwadi Centre 5,368,370,1,739,50.07
North 24 Parganas,101,N24P-101,6,Market Building 6,384,390,0,774,50.39
North 24 Parganas,101,N24P-101,7,Madrasa 7,398,380,1,779,48.78
North 24 Parganas,101,N24P-101,8,Health Sub-Centre 8,286,291,0,577,50.43
North 24 Parganas,101,N24P-101,9,Health Sub-Centre 9,260,240,1,501,47.9
North 24 Parganas,101,N24P-101,10,Community Hall 10,361,343,1,705,48.65
North 24 Parganas,101,N24P-101,11,Market Building 11,317,293,0,610,48.03
North 24 Parganas,101,N24P-101,12,Market Building 12,348,356,1,705,50.5
North 24 Parganas,101,N24P-101,13,Health Sub-Centre 13,427,383,0,810,47.28
North 24 Parganas,101,N24P-101,14,Temple Hall 14,332,316,0,648,48.77
North 24 Parganas,101,N24P-101,15,Club Building 15,363,355,1,719,49.37
North 24 Parganas,101,N24P-101,16,Market Building 16,309,281,0,590,47.63
North 24 Parganas,101,N24P-101,17,Primary School 17,318,292,0,610,47.87
North 24 Parganas,101,N24P-101,18,Market Building 18,290,271,0,561,48.31
North 24 Parganas,101,N24P-101,19,Govt Office 19,370,358,1,729,49.11
North 24 Parganas,101,N24P-101,20,Madrasa 20,302,281,0,583,48.2
North 24 Parganas,101,N24P-101,21,High School 21,257,258,0,515,50.1
North 24 Parganas,101,N24P-101,22,Health Sub-Centre 22,356,342,0,698,49.0
North 24 Parganas,101,N24P-101,23,Primary School 23,406,385,0,791,48.67
North 24 Parganas,101,N24P-101,24,Madrasa 24,331,341,1,673,50.67
North 24 Parganas,101,N24P-101,25,Health Sub-Centre 25,365,372,1,738,50.41
North 24 Parganas,101,N24P-101,26,Temple Hall 26,282,279,0,561,49.73
North 24 Parganas,101,N24P-101,27,Health Sub-Centre 27,332,336,1,669,50.22
North 24 Parganas,101,N24P-101,28,Health Sub-Centre 28,273,273,0,546,50.0
North 24 Parganas,101,N24P-101,29,Market Building 29,336,312,0,648,48.15
North 24 Parganas,101,N24P-101,30,Market Building 30,422,394,1,817,48.23
North 24 Parganas,101,N24P-101,31,Anganwadi Centre 31,344,308,0,652,47.24
North 24 Parganas,101,N24P-101,32,Temple Hall 32,391,370,0,761,48.62
North 24 Parganas,101,N24P-101,33,Anganwadi Centre 33,312,296,1,609,48.6
North 24 Parganas,101,N24P-101,34,Community Hall 34,249,241,1,491,49.08
North 24 Parganas,101,N24P-101,35,Govt Office 35,402,388,0,790,49.11
North 24 Parganas,101,N24P-101,36,Panchayat Bhavan 36,395,393,1,789,49.81
North 24 Parganas,101,N24P-101,37,High School 37,288,285,0,573,49.74
North 24 Parganas,101,N24P-101,38,Primary School 38,331,325,0,656,49.54
North 24 Parganas,101,N24P-101,39,Anganwadi Centre 39,382,343,0,725,47.31
North 24 Parganas,101,N24P-101,40,Health Sub-Centre 40,249,251,1,501,50.1
North 24 Parganas,101,N24P-101,41,Madrasa 41,344,353,0,697,50.65
North 24 Parganas,101,N24P-101,42,Panchayat Bhavan 42,260,251,0,511,49.12
North 24 Parganas,101,N24P-101,43,Govt Office 43,310,311,0,621,50.08
North 24 Parganas,101,N24P-101,44,Madrasa 44,401,388,1,790,49.11
North 24 Parganas,101,N24P-101,45,Panchayat Bhavan 45,310,309,0,619,49.92
North 24 Parganas,101,N24P-101,46,Community Hall 46,373,361,0,734,49.18
North 24 Parganas,101,N24P-101,47,Govt Office 47,414,398,1,813,48.95
North 24 Parganas,101,N24P-101,48,Panchayat Bhavan 48,346,312,1,659,47.34
North 24 Parganas,101,N24P-101,49,Panchayat Bhavan 49,373,376,0,749,50.2
North 24 Parganas,101,N24P-101,50,Market Building 50,404,380,0,784,48.47
North 24 Parganas,101,N24P-101,51,Post Office 51,259,248,1,508,48.82
North 24 Parganas,101,N24P-101,52,Primary School 52,351,356,1,708,50.28
North 24 Parganas,101,N24P-101,53,Temple Hall 53,249,248,0,497,49.9
North 24 Parganas,101,N24P-101,54,Temple Hall 54,327,315,1,643,48.99
North 24 Parganas,101,N24P-101,55,Post Office 55,256,253,1,510,49.61
North 24 Parganas,101,N24P-101,56,High School 56,304,281,1,586,47.95
North 24 Parganas,101,N24P-101,57,Post Office 57,321,295,1,617,47.81
North 24 Parganas,101,N24P-101,58,High School 58,326,296,1,623,47.51
North 24 Parganas,101,N24P-101,59,Anganwadi Centre 59,352,350,0,702,49.86
North 24 Parganas,101,N24P-101,60,Market Building 60,328,313,0,641,48.83
North 24 Parganas,101,N24P-101,61,Temple Hall 61,316,304,0,620,49.03
North 24 Parganas,101,N24P-101,62,Community Hall 62,309,305,1,615,49.59
North 24 Parganas,101,N24P-101,63,Health Sub-Centre 63,390,368,1,759,48.48
North 24 Parganas,101,N24P-101,64,Temple Hall 64,282,279,1,562,49.64
North 24 Parganas,101,N24P-101,65,Club Building 65,375,358,0,733,48.84
North 24 Parganas,101,N24P-101,66,Primary School 66,266,247,1,514,48.05
North 24 Parganas,101,N24P-101,67,High School 67,264,255,1,520,49.04
North 24 Parganas,101,N24P-101,68,Temple Hall 68,403,381,0,784,48.6
North 24 Parganas,101,N24P-101,69,Madrasa 69,268,242,0,510,47.45
North 24 Parganas,101,N24P-101,70,Market Building 70,348,343,0,691,49.64
North 24 Parganas,101,N24P-101,71,Govt Office 71,320,327,1,648,50.46
North 24 Parganas,101,N24P-101,72,Post Office 72,360,347,1,708,49.01
North 24 Parganas,101,N24P-101,73,Primary School 73,372,352,1,725,48.55
North 24 Parganas,101,N24P-101,74,High School 74,284,263,1,548,47.99
North 24 Parganas,101,N24P-101,75,Post Office 75,322,302,0,624,48.4
North 24 Parganas,101,N24P-101,76,Govt Office 76,312,307,0,619,49.6
North 24 Parganas,101,N24P-101,77,Club Building 77,380,372,0,752,49.47
North 24 Parganas,101,N24P-101,78,Madrasa 78,330,331,1,662,50.0
North 24 Parganas,101,N24P-101,79,Post Office 79,289,282,1,572,49.3
North 24 Parganas,101,N24P-101,80,Madrasa 80,341,323,1,665,48.57
North 24 Parganas,101,N24P-101,81,Primary School 81,313,294,1,608,48.36
North 24 Parganas,101,N24P-101,82,Anganwadi Centre 82,299,300,0,599,50.08
North 24 Parganas,101,N24P-101,83,Madrasa 83,364,344,1,709,48.52
North 24 Parganas,101,N24P-101,84,Market Building 84,308,292,1,601,48.59
North 24 Parganas,101,N24P-101,85,Anganwadi Centre 85,295,271,0,566,47.88
North 24 Parganas,101,N24P-101,86,Community Hall 86,314,299,1,614,48.7
North 24 Parganas,101,N24P-101,87,Madrasa 87,312,300,1,613,48.94
North 24 Parganas,101,N24P-101,88,Anganwadi Centre 88,366,372,0,738,50.41
North 24 Parganas,101,N24P-101,89,High School 89,403,415,0,818,50.73
North 24 Parganas,101,N24P-101,90,Club Building 90,384,382,1,767,49.8
North 24 Parganas,101,N24P-101,91,Primary School 91,411,378,1,790,47.85
North 24 Parganas,101,N24P-101,92,Temple Hall 92,307,311,1,619,50.24
North 24 Parganas,101,N24P-101,93,High School 93,275,279,1,555,50.27
North 24 Parganas,101,N24P-101,94,Community Hall 94,330,330,0,660,50.0
North 24 Parganas,101,N24P-101,95,Panchayat Bhavan 95,400,412,1,813,50.68
North 24 Parganas,101,N24P-101,96,Temple Hall 96,256,235,1,492,47.76
North 24 Parganas,101,N24P-101,97,Community Hall 97,305,296,1,602,49.17
North 24 Parganas,101,N24P-101,98,Govt Office 98,284,286,0,570,50.18
North 24 Parganas,101,N24P-101,99,Health Sub-Centre 99,393,401,1,795,50.44
North 24 Parganas,101,N24P-101,100,Health Sub-Centre 100,249,233,1,483,48.24
North 24 Parganas,101,N24P-101,101,Health Sub-Centre 101,385,363,0,748,48.53
North 24 Parganas,101,N24P-101,102,Market Building 102,364,346,1,711,48.66
North 24 Parganas,101,N24P-101,103,Post Office 103,289,279,1,569,49.03
North 24 Parganas,101,N24P-101,104,Post Office 104,375,342,1,718,47.63
North 24 Parganas,101,N24P-101,105,Health Sub-Centre 105,388,372,1,761,48.88
North 24 Parganas,101,N24P-101,106,High School 106,269,253,1,523,48.37
North 24 Parganas,101,N24P-101,107,Panchayat Bhavan 107,357,328,1,686,47.81
North 24 Parganas,101,N24P-101,108,Panchayat Bhavan 108,333,340,0,673,50.52
North 24 Parganas,101,N24P-101,109,High School 109,376,374,0,750,49.87
North 24 Parganas,101,N24P-101,110,High School 110,332,297,0,629,47.22
North 24 Parganas,101,N24P-101,111,Club Building 111,388,383,0,771,49.68
North 24 Parganas,101,N24P-101,112,Club Building 112,358,339,0,697,48.64
North 24 Parganas,101,N24P-101,113,Anganwadi Centre 113,292,273,1,566,48.23
North 24 Parganas,101,N24P-101,114,Post Office 114,385,373,1,759,49.14
North 24 Parganas,101,N24P-101,115,Health Sub-Centre 115,355,326,0,681,47.87
North 24 Parganas,101,N24P-101,116,Anganwadi Centre 116,286,263,1,550,47.82
North 24 Parganas,101,N24P-101,117,Community Hall 117,405,397,0,802,49.5
North 24 Parganas,101,N24P-101,118,Post Office 118,375,356,1,732,48.63
North 24 Parganas,101,N24P-101,119,High School 119,246,254,1,501,50.7
North 24 Parganas,101,N24P-101,120,Market Building 120,338,342,0,680,50.29
North 24 Parganas,101,N24P-101,121,Post Office 121,313,303,1,617,49.11
North 24 Parganas,101,N24P-101,122,Health Sub-Centre 122,413,378,1,792,47.73
North 24 Parganas,101,N24P-101,123,Madrasa 123,337,332,0,669,49.63
North 24 Parganas,101,N24P-101,124,Primary School 124,282,275,0,557,49.37
North 24 Parganas,101,N24P-101,125,Panchayat Bhavan 125,415,382,0,797,47.93
North 24 Parganas,101,N24P-101,126,Community Hall 126,366,339,1,706,48.02
North 24 Parganas,101,N24P-101,127,High School 127,267,277,1,545,50.83
North 24 Parganas,101,N24P-101,128,Health Sub-Centre 128,263,249,1,513,48.54
North 24 Parganas,101,N24P-101,129,Health Sub-Centre 129,286,289,0,575,50.26
North 24 Parganas,101,N24P-101,130,High School 130,267,269,1,537,50.09
North 24 Parganas,101,N24P-101,131,Post Office 131,371,336,0,707,47.52
North 24 Parganas,101,N24P-101,132,Market Building 132,252,240,1,493,48.68
North 24 Parganas,101,N24P-101,133,High School 133,344,354,0,698,50.72
North 24 Parganas,101,N24P-101,134,Community Hall 134,307,279,1,587,47.53
North 24 Parganas,101,N24P-101,135,Panchayat Bhavan 135,332,308,0,640,48.12
North 24 Parganas,101,N24P-101,136,Madrasa 136,339,345,0,684,50.44
North 24 Parganas,101,N24P-101,137,Madrasa 137,318,327,0,645,50.7
North 24 Parganas,101,N24P-101,138,Temple Hall 138,314,291,0,605,48.1
North 24 Parganas,101,N24P-101,139,Madrasa 139,277,248,0,525,47.24
North 24 Parganas,101,N24P-101,140,Madrasa 140,317,315,1,633,49.76
North 24 Parganas,101,N24P-101,141,Anganwadi Centre 141,412,372,1,785,47.39
North 24 Parganas,101,N24P-101,142,High School 142,362,347,0,709,48.94
North 24 Parganas,101,N24P-101,143,Health Sub-Centre 143,382,342,1,725,47.17
North 24 Parganas,101,N24P-101,144,Health Sub-Centre 144,409,406,1,816,49.75
North 24 Parganas,101,N24P-101,145,Community Hall 145,302,278,0,580,47.93
North 24 Parganas,101,N24P-101,146,Club Building 146,304,285,1,590,48.31
