district,ac_code,ac_name,part_no,booth_name,male,female,third_gender,total,female_pct
Paschim Bardhaman,1401,WBrd-1401,1,Anganwadi Centre 1,261,267,1,529,50.47
Paschim Bardhaman,1401,WBrd-1401,2,Anganwadi Centre 2,402,365,1,768,47.53
Paschim Bardhaman,1401,WBrd-1401,3,Govt Office 3,348,312,1,661,47.2
Paschim Bardhaman,1401,WBrd-1401,4,High School 4,416,394,0,810,48.64
Paschim Bardhaman,1401,WBrd-1401,5,Club Building 5,281,288,0,569,50.62
Paschim Bardhaman,1401,WBrd-1401,6,Club Building 6,241,239,0,480,49.79
Paschim Bardhaman,1401,WBrd-1401,7,Primary School 7,253,228,1,482,47.3
Paschim Bardhaman,1401,WBrd-1401,8,Community Hall 8,284,274,1,559,49.02
Paschim Bardhaman,1401,WBrd-1401,9,Community Hall 9,328,309,0,637,48.51
Paschim Bardhaman,1401,WBrd-1401,10,Govt Office 10,363,371,1,735,50.48
Paschim Bardhaman,1401,WBrd-1401,11,Primary School 11,383,347,1,731,47.47
Paschim Bardhaman,1401,WBrd-1401,12,Club Building 12,276,253,1,530,47.74
Paschim Bardhaman,1401,WBrd-1401,13,Anganwadi Centre 13,402,386,1,789,48.92
Paschim Bardhaman,1401,WBrd-1401,14,Health Sub-Centre 14,288,263,0,551,47.73
Paschim Bardhaman,1401,WBrd-1401,15,Market Building 15,339,307,0,646,47.52
Paschim Bardhaman,1401,WBrd-1401,16,Post Office 16,252,240,0,492,48.78
Paschim Bardhaman,1401,WBrd-1401,17,Anganwadi Centre 17,383,380,1,764,49.74
Paschim Bardhaman,1401,WBrd-1401,18,Govt Office 18,381,386,0,767,50.33
Paschim Bardhaman,1401,WBrd-1401,19,High School 19,267,268,1,536,50.0
Paschim Bardhaman,1401,WBrd-1401,20,Primary School 20,269,278,1,548,50.73
Paschim Bardhaman,1401,WBrd-1401,21,High School 21,305,281,0,586,47.95
Paschim Bardhaman,1401,WBrd-1401,22,Primary School 22,405,364,1,770,47.27
Paschim Bardhaman,1401,WBrd-1401,23,Govt Office 23,272,259,0,531,48.78
Paschim Bardhaman,1401,WBrd-1401,24,Primary School 24,404,405,1,810,50.0
Paschim Bardhaman,1401,WBrd-1401,25,Madrasa 25,294,269,1,564,47.7
Paschim Bardhaman,1401,WBrd-1401,26,Health Sub-Centre 26,291,268,1,560,47.86
Paschim Bardhaman,1401,WBrd-1401,27,Market Building 27,401,410,1,812,50.49
Paschim Bardhaman,1401,WBrd-1401,28,Market Building 28,394,358,0,752,47.61
Paschim Bardhaman,1401,WBrd-1401,29,Primary School 29,330,330,0,660,50.0
Paschim Bardhaman,1401,WBrd-1401,30,High School 30,289,291,0,580,50.17
Paschim Bardhaman,1401,WBrd-1401,31,High School 31,281,281,0,562,50.0
Paschim Bardhaman,1401,WBrd-1401,32,High School 32,418,383,0,801,47.82
Paschim Bardhaman,1401,WBrd-1401,33,Primary School 33,367,339,1,707,47.95
Paschim Bardhaman,1401,WBrd-1401,34,Market Building 34,373,340,1,714,47.62
Paschim Bardhaman,1401,WBrd-1401,35,Panchayat Bhavan 35,339,312,1,652,47.85
Paschim Bardhaman,1401,WBrd-1401,36,Community Hall 36,387,367,0,754,48.67
Paschim Bardhaman,1401,WBrd-1401,37,Govt Office 37,265,245,1,511,47.95
Paschim Bardhaman,1401,WBrd-1401,38,Panchayat Bhavan 38,328,310,0,638,48.59
Paschim Bardhaman,1401,WBrd-1401,39,Anganwadi Centre 39,249,249,1,499,49.9
Paschim Bardhaman,1401,WBrd-1401,40,Club Building 40,240,242,0,482,50.21
Paschim Bardhaman,1401,WBrd-1401,41,High School 41,367,367,0,734,50.0
Paschim Bardhaman,1401,WBrd-1401,42,Anganwadi Centre 42,337,319,0,656,48.63
Paschim Bardhaman,1401,WBrd-1401,43,Anganwadi Centre 43,264,242,0,506,47.83
Paschim Bardhaman,1401,WBrd-1401,44,Temple Hall 44,289,270,0,559,48.3
Paschim Bardhaman,1401,WBrd-1401,45,Anganwadi Centre 45,284,261,0,545,47.89
Paschim Bardhaman,1401,WBrd-1401,46,Primary School 46,274,265,1,540,49.07
Paschim Bardhaman,1401,WBrd-1401,47,Market Building 47,312,291,0,603,48.26
Paschim Bardhaman,1401,WBrd-1401,48,Panchayat Bhavan 48,267,261,0,528,49.43
Paschim Bardhaman,1401,WBrd-1401,49,High School 49,318,309,0,627,49.28
Paschim Bardhaman,1401,WBrd-1401,50,Anganwadi Centre 50,328,322,1,651,49.46
Paschim Bardhaman,1401,WBrd-1401,51,Community Hall 51,348,356,1,705,50.5
Paschim Bardhaman,1401,WBrd-1401,52,Club Building 52,330,332,0,662,50.15
Paschim Bardhaman,1401,WBrd-1401,53,Temple Hall 53,272,264,1,537,49.16
Paschim Bardhaman,1401,WBrd-1401,54,Madrasa 54,289,299,1,589,50.76
Paschim Bardhaman,1401,WBrd-1401,55,Primary School 55,275,251,1,527,47.63
Paschim Bardhaman,1401,WBrd-1401,56,Primary School 56,263,254,0,517,49.13
Paschim Bardhaman,1401,WBrd-1401,57,Madrasa 57,415,396,0,811,48.83
Paschim Bardhaman,1401,WBrd-1401,58,Health Sub-Centre 58,392,380,0,772,49.22
Paschim Bardhaman,1401,WBrd-1401,59,Market Building 59,260,258,1,519,49.71
Paschim Bardhaman,1401,WBrd-1401,60,Anganwadi Centre 60,390,370,1,761,48.62
Paschim Bardhaman,1401,WBrd-1401,61,Primary School 61,249,240,1,490,48.98
Paschim Bardhaman,1401,WBrd-1401,62,Anganwadi Centre 62,386,366,1,753,48.61
Paschim Bardhaman,1401,WBrd-1401,63,High School 63,349,318,0,667,47.68
Paschim Bardhaman,1401,WBrd-1401,64,High School 64,352,319,0,671,47.54
Paschim Bardhaman,1401,WBrd-1401,65,Health Sub-Centre 65,414,384,0,798,48.12
