district,ac_code,ac_name,part_no,booth_name,male,female,third_gender,total,female_pct
Purba Bardhaman,901,EBrd-901,1,Madrasa 1,314,293,0,607,48.27
Purba Bardhaman,901,EBrd-901,2,Community Hall 2,330,312,1,643,48.52
Purba Bardhaman,901,EBrd-901,3,Madrasa 3,302,278,0,580,47.93
Purba Bardhaman,901,EBrd-901,4,Madrasa 4,318,306,0,624,49.04
Purba Bardhaman,901,EBrd-901,5,Community Hall 5,323,308,0,631,48.81
Purba Bardhaman,901,EBrd-901,6,Post Office 6,353,329,1,683,48.17
Purba Bardhaman,901,EBrd-901,7,Post Office 7,386,383,0,769,49.8
Purba Bardhaman,901,EBrd-901,8,Madrasa 8,263,258,0,521,49.52
Purba Bardhaman,901,EBrd-901,9,Market Building 9,410,377,1,788,47.84
Purba Bardhaman,901,EBrd-901,10,Temple Hall 10,395,376,1,772,48.7
Purba Bardhaman,901,EBrd-901,11,Community Hall 11,312,309,0,621,49.76
Purba Bardhaman,901,EBrd-901,12,Primary School 12,245,245,1,491,49.9
Purba Bardhaman,901,EBrd-901,13,Anganwadi Centre 13,264,266,1,531,50.09
Purba Bardhaman,901,EBrd-901,14,Market Building 14,352,342,0,694,49.28
Purba Bardhaman,901,EBrd-901,15,Govt Office 15,279,283,0,562,50.36
Purba Bardhaman,901,EBrd-901,16,High School 16,343,307,1,651,47.16
Purba Bardhaman,901,EBrd-901,17,Anganwadi Centre 17,397,402,0,799,50.31
Purba Bardhaman,901,EBrd-901,18,Market Building 18,334,300,1,635,47.24
Purba Bardhaman,901,EBrd-901,19,Community Hall 19,280,258,0,538,47.96
Purba Bardhaman,901,EBrd-901,20,High School 20,250,244,0,494,49.39
Purba Bardhaman,901,EBrd-901,21,Madrasa 21,416,379,0,795,47.67
Purba Bardhaman,901,EBrd-901,22,Post Office 22,266,255,1,522,48.85
Purba Bardhaman,901,EBrd-901,23,Club Building 23,298,286,1,585,48.89
Purba Bardhaman,901,EBrd-901,24,Post Office 24,342,313,0,655,47.79
Purba Bardhaman,901,EBrd-901,25,Anganwadi Centre 25,276,263,0,539,48.79
Purba Bardhaman,901,EBrd-901,26,Temple Hall 26,259,262,1,522,50.19
Purba Bardhaman,901,EBrd-901,27,Post Office 27,281,256,1,538,47.58
Purba Bardhaman,901,EBrd-901,28,Temple Hall 28,294,269,1,564,47.7
Purba Bardhaman,901,EBrd-901,29,Health Sub-Centre 29,350,344,0,694,49.57
Purba Bardhaman,901,EBrd-901,30,Health Sub-Centre 30,352,333,0,685,48.61
Purba Bardhaman,901,EBrd-901,31,Temple Hall 31,343,332,0,675,49.19
Purba Bardhaman,901,EBrd-901,32,Health Sub-Centre 32,270,261,0,531,49.15
Purba Bardhaman,901,EBrd-901,33,High School 33,315,311,0,626,49.68
Purba Bardhaman,901,EBrd-901,34,Govt Office 34,403,395,0,798,49.5
Purba Bardhaman,901,EBrd-901,35,Temple Hall 35,247,251,1,499,50.3
Purba Bardhaman,901,EBrd-901,36,Madrasa 36,266,271,1,538,50.37
Purba Bardhaman,901,EBrd-901,37,Madrasa 37,279,263,1,543,48.43
Purba Bardhaman,901,EBrd-901,38,Panchayat Bhavan 38,246,250,0,496,50.4
Purba Bardhaman,901,EBrd-901,39,Club Building 39,402,371,0,773,47.99
Purba Bardhaman,901,EBrd-901,40,Club Building 40,323,302,1,626,48.24
Purba Bardhaman,901,EBrd-901,41,Post Office 41,330,324,1,655,49.47
Purba Bardhaman,901,EBrd-901,42,Govt Office 42,247,244,0,491,49.69
Purba Bardhaman,901,EBrd-901,43,Community Hall 43,384,348,1,733,47.48
Purba Bardhaman,901,EBrd-901,44,Anganwadi Centre 44,281,289,1,571,50.61
Purba Bardhaman,901,EBrd-901,45,Market Building 45,379,348,0,727,47.87
Purba Bardhaman,901,EBrd-901,46,Health Sub-Centre 46,415,372,1,788,47.21
Purba Bardhaman,901,EBrd-901,47,Club Building 47,276,259,0,535,48.41
Purba Bardhaman,901,EBrd-901,48,Health Sub-Centre 48,366,376,0,742,50.67
Purba Bardhaman,901,EBrd-901,49,Primary School 49,252,232,1,485,47.84
Purba Bardhaman,901,EBrd-901,50,Market Building 50,273,266,0,539,49.35
Purba Bardhaman,901,EBrd-901,51,Market Building 51,399,405,0,804,50.37
Purba Bardhaman,901,EBrd-901,52,Anganwadi Centre 52,287,268,0,555,48.29
Purba Bardhaman,901,EBrd-901,53,Post Office 53,266,250,1,517,48.36
Purba Bardhaman,901,EBrd-901,54,Madrasa 54,333,320,1,654,48.93
Purba Bardhaman,901,EBrd-901,55,Community Hall 55,296,272,0,568,47.89
Purba Bardhaman,901,EBrd-901,56,Post Office 56,376,345,0,721,47.85
Purba Bardhaman,901,EBrd-901,57,Club Building 57,278,277,1,556,49.82
