district,ac_code,ac_name,part_no,booth_name,male,female,third_gender,total,female_pct
Purba Medinipur,301,PMed-301,1,Market Building 1,256,234,1,491,47.66
Purba Medinipur,301,PMed-301,2,Panchayat Bhavan 2,395,391,0,786,49.75
Purba Medinipur,301,PMed-301,3,Market Building 3,314,310,1,625,49.6
Purba Medinipur,301,PMed-301,4,Primary School 4,253,242,1,496,48.79
Purba Medinipur,301,PMed-301,5,Health Sub-Centre 5,305,282,1,588,47.96
Purba Medinipur,301,PMed-301,6,Market Building 6,346,326,0,672,48.51
Purba Medinipur,301,PMed-301,7,Post Office 7,394,357,0,751,47.54
Purba Medinipur,301,PMed-301,8,Panchayat Bhavan 8,326,311,0,637,48.82
Purba Medinipur,301,PMed-301,9,Health Sub-Centre 9,382,341,0,723,47.16
Purba Medinipur,301,PMed-301,10,Madrasa 10,257,247,0,504,49.01
Purba Medinipur,301,PMed-301,11,Panchayat Bhavan 11,248,250,1,499,50.1
Purba Medinipur,301,PMed-301,12,Post Office 12,421,389,1,811,47.97
Purba Medinipur,301,PMed-301,13,Anganwadi Centre 13,290,295,1,586,50.34
Purba Medinipur,301,PMed-301,14,Health Sub-Centre 14,370,358,0,728,49.18
Purba Medinipur,301,PMed-301,15,High School 15,262,263,0,525,50.1
Purba Medinipur,301,PMed-301,16,Madrasa 16,380,381,1,762,50.0
Purba Medinipur,301,PMed-301,17,Madrasa 17,363,353,1,717,49.23
Purba Medinipur,301,PMed-301,18,Club Building 18,401,361,1,763,47.31
Purba Medinipur,301,PMed-301,19,Market Building 19,354,356,1,711,50.07
Purba Medinipur,301,PMed-301,20,Health Sub-Centre 20,385,395,0,780,50.64
Purba Medinipur,301,PMed-301,21,Madrasa 21,285,260,0,545,47.71
Purba Medinipur,301,PMed-301,22,Club Building 22,401,412,1,814,50.61
Purba Medinipur,301,PMed-301,23,Temple Hall 23,337,343,0,680,50.44
Purba Medinipur,301,PMed-301,24,Govt Office 24,352,319,0,671,47.54
Purba Medinipur,301,PMed-301,25,Madrasa 25,244,248,0,492,50.41
Purba Medinipur,301,PMed-301,26,Panchayat Bhavan 26,332,307,0,639,48.04
Purba Medinipur,301,PMed-301,27,Madrasa 27,310,285,0,595,47.9
Purba Medinipur,301,PMed-301,28,Govt Office 28,271,246,1,518,47.49
Purba Medinipur,301,PMed-301,29,Market Building 29,364,374,0,738,50.68
Purba Medinipur,301,PMed-301,30,Panchayat Bhavan 30,318,316,1,635,49.76
Purba Medinipur,301,PMed-301,31,Post Office 31,249,246,1,496,49.6
Purba Medinipur,301,PMed-301,32,Temple Hall 32,253,248,0,501,49.5
Purba Medinipur,301,PMed-301,33,Govt Office 33,328,303,1,632,47.94
Purba Medinipur,301,PMed-301,34,Market Building 34,376,357,0,733,48.7
Purba Medinipur,301,PMed-301,35,Govt Office 35,366,358,0,724,49.45
Purba Medinipur,301,PMed-301,36,Market Building 36,274,263,0,537,48.98
Purba Medinipur,301,PMed-301,37,Health Sub-Centre 37,321,314,1,636,49.37
Purba Medinipur,301,PMed-301,38,Health Sub-Centre 38,305,306,1,612,50.0
Purba Medinipur,301,PMed-301,39,Post Office 39,341,305,1,647,47.14
Purba Medinipur,301,PMed-301,40,Govt Office 40,300,296,1,597,49.58
Purba Medinipur,301,PMed-301,41,Club Building 41,328,294,0,622,47.27
Purba Medinipur,301,PMed-301,42,Anganwadi Centre 42,344,335,0,679,49.34
Purba Medinipur,301,PMed-301,43,Govt Office 43,351,352,0,703,50.07
Purba Medinipur,301,PMed-301,44,Anganwadi Centre 44,303,282,0,585,48.21
Purba Medinipur,301,PMed-301,45,Govt Office 45,354,353,0,707,49.93
Purba Medinipur,301,PMed-301,46,Madrasa 46,291,298,1,590,50.51
Purba Medinipur,301,PMed-301,47,Health Sub-Centre 47,305,300,0,605,49.59
Purba Medinipur,301,PMed-301,48,Govt Office 48,272,275,0,547,50.27
Purba Medinipur,301,PMed-301,49,Market Building 49,407,399,1,807,49.44
