district,ac_code,ac_name,part_no,booth_name,male,female,third_gender,total,female_pct
Purulia,1601,Prl-1601,1,Anganwadi Centre 1,331,339,0,670,50.6
Purulia,1601,Prl-1601,2,Temple Hall 2,394,395,1,790,50.0
Purulia,1601,Prl-1601,3,Post Office 3,303,277,0,580,47.76
Purulia,1601,Prl-1601,4,Madrasa 4,275,259,1,535,48.41
Purulia,1601,Prl-1601,5,Madrasa 5,357,347,0,704,49.29
Purulia,1601,Prl-1601,6,Club Building 6,390,393,1,784,50.13
Purulia,1601,Prl-1601,7,Temple Hall 7,403,378,0,781,48.4
Purulia,1601,Prl-1601,8,Temple Hall 8,355,346,0,701,49.36
Purulia,1601,Prl-1601,9,Primary School 9,403,414,0,817,50.67
Purulia,1601,Prl-1601,10,Community Hall 10,338,318,1,657,48.4
Purulia,1601,Prl-1601,11,Club Building 11,327,301,1,629,47.85
Purulia,1601,Prl-1601,12,Market Building 12,309,311,1,621,50.08
Purulia,1601,Prl-1601,13,High School 13,398,382,0,780,48.97
Purulia,1601,Prl-1601,14,Madrasa 14,399,388,1,788,49.24
Purulia,1601,Prl-1601,15,Panchayat Bhavan 15,338,331,1,670,49.4
Purulia,1601,Prl-1601,16,High School 16,245,246,0,491,50.1
Purulia,1601,Prl-1601,17,Anganwadi Centre 17,256,247,1,504,49.01
Purulia,1601,Prl-1601,18,Temple Hall 18,361,362,1,724,50.0
Purulia,1601,Prl-1601,19,Primary School 19,378,341,1,720,47.36
Purulia,1601,Prl-1601,20,Club Building 20,311,315,1,627,50.24
Purulia,1601,Prl-1601,21,Club Building 21,276,283,1,560,50.54
Purulia,1601,Prl-1601,22,High School 22,315,296,1,612,48.37
Purulia,1601,Prl-1601,23,Temple Hall 23,289,298,1,588,50.68
Purulia,1601,Prl-1601,24,Health Sub-Centre 24,318,323,0,641,50.39
Purulia,1601,Prl-1601,25,Club Building 25,422,391,0,813,48.09
Purulia,1601,Prl-1601,26,Market Building 26,421,395,0,816,48.41
Purulia,1601,Prl-1601,27,Anganwadi Centre 27,329,337,0,666,50.6
Purulia,1601,Prl-1601,28,Panchayat Bhavan 28,296,283,1,580,48.79
Purulia,1601,Prl-1601,29,Primary School 29,267,265,1,533,49.72
Purulia,1601,Prl-1601,30,Community Hall 30,346,312,0,658,47.42
Purulia,1601,Prl-1601,31,Govt Office 31,321,291,1,613,47.47
Purulia,1601,Prl-1601,32,Panchayat Bhavan 32,259,253,1,513,49.32
Purulia,1601,Prl-1601,33,Panchayat Bhavan 33,410,369,1,780,47.31
Purulia,1601,Prl-1601,34,Market Building 34,340,310,1,651,47.62
Purulia,1601,Prl-1601,35,Panchayat Bhavan 35,321,330,0,651,50.69
Purulia,1601,Prl-1601,36,Market Building 36,313,293,1,607,48.27
Purulia,1601,Prl-1601,37,High School 37,379,390,0,769,50.72
Purulia,1601,Prl-1601,38,Govt Office 38,326,304,0,630,48.25
Purulia,1601,Prl-1601,39,Community Hall 39,370,381,0,751,50.73
Purulia,1601,Prl-1601,40,High School 40,407,398,1,806,49.38
Purulia,1601,Prl-1601,41,Health Sub-Centre 41,273,259,0,532,48.68
Purulia,1601,Prl-1601,42,Club Building 42,318,312,0,630,49.52
Purulia,1601,Prl-1601,43,Post Office 43,261,253,1,515,49.13
Purulia,1601,Prl-1601,44,Anganwadi Centre 44,350,337,0,687,49.05
Purulia,1601,Prl-1601,45,Club Building 45,407,382,1,790,48.35
Purulia,1601,Prl-1601,46,Govt Office 46,354,317,0,671,47.24
Purulia,1601,Prl-1601,47,Community Hall 47,308,318,0,626,50.8
Purulia,1601,Prl-1601,48,Panchayat Bhavan 48,387,363,1,751,48.34
Purulia,1601,Prl-1601,49,Club Building 49,249,240,0,489,49.08
Purulia,1601,Prl-1601,50,Madrasa 50,254,238,0,492,48.37
Purulia,1601,Prl-1601,51,Panchayat Bhavan 51,371,375,1,747,50.2
Purulia,1601,Prl-1601,52,Community Hall 52,306,289,1,596,48.49
Purulia,1601,Prl-1601,53,Post Office 53,294,286,1,581,49.23
Purulia,1601,Prl-1601,54,Post Office 54,349,349,0,698,50.0
Purulia,1601,Prl-1601,55,Health Sub-Centre 55,360,346,0,706,49.01
Purulia,1601,Prl-1601,56,Temple Hall 56,375,355,1,731,48.56
Purulia,1601,Prl-1601,57,Primary School 57,285,283,0,568,49.82
Purulia,1601,Prl-1601,58,Post Office 58,323,314,0,637,49.29
Purulia,1601,Prl-1601,59,Community Hall 59,373,366,0,739,49.53
Purulia,1601,Prl-1601,60,Panchayat Bhavan 60,265,246,0,511,48.14
Purulia,1601,Prl-1601,61,Market Building 61,311,308,0,619,49.76
Purulia,1601,Prl-1601,62,Club Building 62,411,384,0,795,48.3
Purulia,1601,Prl-1601,63,High School 63,350,326,1,677,48.15
Purulia,1601,Prl-1601,64,Post Office 64,397,385,1,783,49.17
Purulia,1601,Prl-1601,65,Market Building 65,391,382,1,774,49.35
Purulia,1601,Prl-1601,66,Panchayat Bhavan 66,403,391,0,794,49.24
Purulia,1601,Prl-1601,67,Market Building 67,281,284,0,565,50.27
Purulia,1601,Prl-1601,68,Club Building 68,281,256,0,537,47.67
Purulia,1601,Prl-1601,69,Temple Hall 69,307,284,0,591,48.05
Purulia,1601,Prl-1601,70,Panchayat Bhavan 70,382,382,0,764,50.0
Purulia,1601,Prl-1601,71,Health Sub-Centre 71,283,285,1,569,50.09
Purulia,1601,Prl-1601,72,Madrasa 72,390,401,0,791,50.7
Purulia,1601,Prl-1601,73,High School 73,343,331,0,674,49.11
Purulia,1601,Prl-1601,74,Temple Hall 74,393,394,1,788,50.0
Purulia,1601,Prl-1601,75,Health Sub-Centre 75,239,241,1,481,50.1
Purulia,1601,Prl-1601,76,Madrasa 76,396,397,0,793,50.06
Purulia,1601,Prl-1601,77,Club Building 77,397,373,0,770,48.44
Purulia,1601,Prl-1601,78,Market Building 78,341,310,1,652,47.55
Purulia,1601,Prl-1601,79,Community Hall 79,411,369,0,780,47.31
Purulia,1601,Prl-1601,80,Health Sub-Centre 80,282,286,0,568,50.35
Purulia,1601,Prl-1601,81,Club Building 81,297,302,0,599,50.42
Purulia,1601,Prl-1601,82,Govt Office 82,245,244,1,490,49.8
Purulia,1601,Prl-1601,83,Panchayat Bhavan 83,317,297,0,614,48.37
Purulia,1601,Prl-1601,84,Post Office 84,241,245,0,486,50.41
Purulia,1601,Prl-1601,85,Market Building 85,396,398,1,795,50.06
Purulia,1601,Prl-1601,86,Post Office 86,390,366,0,756,48.41
Purulia,1601,Prl-1601,87,Health Sub-Centre 87,347,315,0,662,47.58
Purulia,1601,Prl-1601,88,Primary School 88,300,275,1,576,47.74
Purulia,1601,Prl-1601,89,Anganwadi Centre 89,268,267,0,535,49.91
Purulia,1601,Prl-1601,90,Anganwadi Centre 90,359,340,1,700,48.57
Purulia,1601,Prl-1601,91,High School 91,299,306,1,606,50.5
Purulia,1601,Prl-1601,92,Govt Office 92,408,377,1,786,47.96
Purulia,1601,Prl-1601,93,Market Building 93,259,264,1,524,50.38
Purulia,1601,Prl-1601,94,Panchayat Bhavan 94,300,302,1,603,50.08
Purulia,1601,Prl-1601,95,Primary School 95,311,281,0,592,47.47
Purulia,1601,Prl-1601,96,Primary School 96,382,376,0,758,49.6
Purulia,1601,Prl-1601,97,Club Building 97,374,338,1,713,47.41
Purulia,1601,Prl-1601,98,Health Sub-Centre 98,281,271,1,553,49.01
Purulia,1601,Prl-1601,99,High School 99,291,285,1,577,49.39
Purulia,1601,Prl-1601,100,Govt Office 100,293,286,1,580,49.31
Purulia,1601,Prl-1601,101,High School 101,419,386,1,806,47.89
Purulia,1601,Prl-1601,102,Market Building 102,315,318,0,633,50.24
Purulia,1601,Prl-1601,103,Panchayat Bhavan 103,388,350,1,739,47.36
Purulia,1601,Prl-1601,104,Health Sub-Centre 104,300,309,1,610,50.66
Purulia,1601,Prl-1601,105,High School 105,266,251,0,517,48.55
Purulia,1601,Prl-1601,106,Madrasa 106,333,323,0,656,49.24
Purulia,1601,Prl-1601,107,Post Office 107,253,234,1,488,47.95
Purulia,1601,Prl-1601,108,Madrasa 108,304,308,0,612,50.33
Purulia,1601,Prl-1601,109,High School 109,304,275,1,580,47.41
Purulia,1601,Prl-1601,110,Market Building 110,353,359,1,713,50.35
Purulia,1601,Prl-1601,111,Market Building 111,317,324,0,641,50.55
Purulia,1601,Prl-1601,112,High School 112,409,406,1,816,49.75
Purulia,1601,Prl-1601,113,Govt Office 113,327,333,0,660,50.45
Purulia,1601,Prl-1601,114,Post Office 114,243,248,0,491,50.51
Purulia,1601,Prl-1601,115,Community Hall 115,341,328,0,669,49.03
Purulia,1601,Prl-1601,116,Community Hall 116,371,383,1,755,50.73
Purulia,1601,Prl-1601,117,High School 117,368,364,1,733,49.66
Purulia,1601,Prl-1601,118,Primary School 118,364,338,0,702,48.15
Purulia,1601,Prl-1601,119,Temple Hall 119,356,324,0,680,47.65
Purulia,1601,Prl-1601,120,Market Building 120,420,389,1,810,48.02
Purulia,1601,Prl-1601,121,Govt Office 121,283,291,1,575,50.61
Purulia,1601,Prl-1601,122,Temple Hall 122,319,320,0,639,50.08
Purulia,1601,Prl-1601,123,Post Office 123,416,378,0,794,47.61
