district,ac_code,ac_name,part_no,booth_name,male,female,third_gender,total,female_pct
South 24 Parganas,201,S24P-201,1,Post Office 1,310,293,1,604,48.51
South 24 Parganas,201,S24P-201,2,Govt Office 2,354,339,0,693,48.92
South 24 Parganas,201,S24P-201,3,Post Office 3,399,393,1,793,49.56
South 24 Parganas,201,S24P-201,4,Health Sub-Centre 4,313,288,1,602,47.84
South 24 Parganas,201,S24P-201,5,Health Sub-Centre 5,279,261,0,540,48.33
South 24 Parganas,201,S24P-201,6,Post Office 6,328,335,0,663,50.53
South 24 Parganas,201,S24P-201,7,Govt Office 7,265,252,0,517,48.74
South 24 Parganas,201,S24P-201,8,Market Building 8,319,295,0,614,48.05
South 24 Parganas,201,S24P-201,9,Health Sub-Centre 9,315,294,0,609,48.28
South 24 Parganas,201,S24P-201,10,Post Office 10,286,267,0,553,48.28
South 24 Parganas,201,S24P-201,11,Health Sub-Centre 11,249,232,1,482,48.13
South 24 Parganas,201,S24P-201,12,Health Sub-Centre 12,400,371,1,772,48.06
South 24 Parganas,201,S24P-201,13,Community Hall 13,392,400,0,792,50.51
South 24 Parganas,201,S24P-201,14,Govt Office 14,325,328,0,653,50.23
South 24 Parganas,201,S24P-201,15,Market Building 15,384,350,0,734,47.68
South 24 Parganas,201,S24P-201,16,Community Hall 16,381,344,1,726,47.38
South 24 Parganas,201,S24P-201,17,High School 17,386,357,0,743,48.05
South 24 Parganas,201,S24P-201,18,Post Office 18,245,246,0,491,50.1
South 24 Parganas,201,S24P-201,19,Madrasa 19,330,300,0,630,47.62
South 24 Parganas,201,S24P-201,20,Anganwadi Centre 20,270,250,1,521,47.98
South 24 Parganas,201,S24P-201,21,Anganwadi Centre 21,333,318,0,651,48.85
South 24 Parganas,201,S24P-201,22,Club Building 22,304,313,1,618,50.65
South 24 Parganas,201,S24P-201,23,Govt Office 23,397,394,0,791,49.81
South 24 Parganas,201,S24P-201,24,Govt Office 24,277,256,0,533,48.03
South 24 Parganas,201,S24P-201,25,Health Sub-Centre 25,383,345,0,728,47.39
South 24 Parganas,201,S24P-201,26,High School 26,371,380,0,751,50.6
South 24 Parganas,201,S24P-201,27,Govt Office 27,400,406,1,807,50.31
South 24 Parganas,201,S24P-201,28,Panchayat Bhavan 28,310,308,1,619,49.76
South 24 Parganas,201,S24P-201,29,Post Office 29,257,237,0,494,47.98
South 24 Parganas,201,S24P-201,30,Primary School 30,319,318,1,638,49.84
South 24 Parganas,201,S24P-201,31,Temple Hall 31,421,383,1,805,47.58
South 24 Parganas,201,S24P-201,32,Temple Hall 32,311,302,0,613,49.27
South 24 Parganas,201,S24P-201,33,Panchayat Bhavan 33,380,389,0,769,50.59
South 24 Parganas,201,S24P-201,34,Primary School 34,395,400,0,795,50.31
South 24 Parganas,201,S24P-201,35,Market Building 35,251,247,0,498,49.6
South 24 Parganas,201,S24P-201,36,Club Building 36,348,319,1,668,47.75
South 24 Parganas,201,S24P-201,37,Club Building 37,306,303,1,610,49.67
South 24 Parganas,201,S24P-201,38,Madrasa 38,288,281,0,569,49.38
South 24 Parganas,201,S24P-201,39,Market Building 39,249,233,1,483,48.24
South 24 Parganas,201,S24P-201,40,Anganwadi Centre 40,382,381,1,764,49.87
South 24 Parganas,201,S24P-201,41,Temple Hall 41,428,392,0,820,47.8
South 24 Parganas,201,S24P-201,42,Community Hall 42,317,284,0,601,47.25
South 24 Parganas,201,S24P-201,43,Health Sub-Centre 43,390,386,1,777,49.68
South 24 Parganas,201,S24P-201,44,Health Sub-Centre 44,414,399,1,814,49.02
South 24 Parganas,201,S24P-201,45,Club Building 45,372,359,1,732,49.04
South 24 Parganas,201,S24P-201,46,Govt Office 46,380,355,0,735,48.3
South 24 Parganas,201,S24P-201,47,Community Hall 47,399,404,1,804,50.25
South 24 Parganas,201,S24P-201,48,Community Hall 48,372,346,1,719,48.12
South 24 Parganas,201,S24P-201,49,Anganwadi Centre 49,410,368,1,779,47.24
South 24 Parganas,201,S24P-201,50,Community Hall 50,325,292,0,617,47.33
South 24 Parganas,201,S24P-201,51,Madrasa 51,357,366,0,723,50.62
South 24 Parganas,201,S24P-201,52,Temple Hall 52,275,268,0,543,49.36
South 24 Parganas,201,S24P-201,53,Post Office 53,296,304,1,601,50.58
South 24 Parganas,201,S24P-201,54,Club Building 54,303,312,0,615,50.73
South 24 Parganas,201,S24P-201,55,Health Sub-Centre 55,332,333,0,665,50.08
South 24 Parganas,201,S24P-201,56,High School 56,329,321,1,651,49.31
South 24 Parganas,201,S24P-201,57,Post Office 57,389,393,1,783,50.19
South 24 Parganas,201,S24P-201,58,High School 58,302,288,1,591,48.73
South 24 Parganas,201,S24P-201,59,Market Building 59,393,354,0,747,47.39
South 24 Parganas,201,S24P-201,60,Market Building 60,373,379,0,752,50.4
South 24 Parganas,201,S24P-201,61,Temple Hall 61,382,348,1,731,47.61
South 24 Parganas,201,S24P-201,62,Market Building 62,286,258,1,545,47.34
South 24 Parganas,201,S24P-201,63,Anganwadi Centre 63,374,343,0,717,47.84
