district,ac_code,ac_name,part_no,booth_name,male,female,third_gender,total,female_pct
Uttar Dinajpur,1301,UD-1301,1,Govt Office 1,384,388,1,773,50.19
Uttar Dinajpur,1301,UD-1301,2,Panchayat Bhavan 2,400,382,1,783,48.79
Uttar Dinajpur,1301,UD-1301,3,Madrasa 3,327,336,0,663,50.68
Uttar Dinajpur,1301,UD-1301,4,Temple Hall 4,381,364,0,745,48.86
Uttar Dinajpur,1301,UD-1301,5,Health Sub-Centre 5,275,255,1,531,48.02
Uttar Dinajpur,1301,UD-1301,6,Health Sub-Centre 6,298,303,0,601,50.42
Uttar Dinajpur,1301,UD-1301,7,Madrasa 7,289,284,0,573,49.56
Uttar Dinajpur,1301,UD-1301,8,Health Sub-Centre 8,292,280,1,573,48.87
Uttar Dinajpur,1301,UD-1301,9,Community Hall 9,395,368,1,764,48.17
Uttar Dinajpur,1301,UD-1301,10,Panchayat Bhavan 10,331,303,1,635,47.72
Uttar Dinajpur,1301,UD-1301,11,Post Office 11,316,297,1,614,48.37
Uttar Dinajpur,1301,UD-1301,12,Health Sub-Centre 12,296,286,0,582,49.14
Uttar Dinajpur,1301,UD-1301,13,Temple Hall 13,287,284,0,571,49.74
Uttar Dinajpur,1301,UD-1301,14,Govt Office 14,381,374,0,755,49.54
Uttar Dinajpur,1301,UD-1301,15,Post Office 15,272,249,0,521,47.79
Uttar Dinajpur,1301,UD-1301,16,Panchayat Bhavan 16,393,373,1,767,48.63
Uttar Dinajpur,1301,UD-1301,17,High School 17,379,392,1,772,50.78
Uttar Dinajpur,1301,UD-1301,18,Anganwadi Centre 18,265,270,0,535,50.47
Uttar Dinajpur,1301,UD-1301,19,Community Hall 19,333,318,1,652,48.77
Uttar Dinajpur,1301,UD-1301,20,Govt Office 20,259,247,0,506,48.81
Uttar Dinajpur,1301,UD-1301,21,Madrasa 21,398,373,1,772,48.32
Uttar Dinajpur,1301,UD-1301,22,Anganwadi Centre 22,311,306,1,618,49.51
Uttar Dinajpur,1301,UD-1301,23,Health Sub-Centre 23,289,261,1,551,47.37
Uttar Dinajpur,1301,UD-1301,24,Post Office 24,293,266,1,560,47.5
Uttar Dinajpur,1301,UD-1301,25,Govt Office 25,354,339,1,694,48.85
Uttar Dinajpur,1301,UD-1301,26,Madrasa 26,369,341,0,710,48.03
Uttar Dinajpur,1301,UD-1301,27,Market Building 27,248,245,1,494,49.6
Uttar Dinajpur,1301,UD-1301,28,Govt Office 28,358,342,1,701,48.79
Uttar Dinajpur,1301,UD-1301,29,Govt Office 29,307,295,0,602,49.0
Uttar Dinajpur,1301,UD-1301,30,Temple Hall 30,355,335,1,691,48.48
Uttar Dinajpur,1301,UD-1301,31,Primary School 31,359,362,1,722,50.14
Uttar Dinajpur,1301,UD-1301,32,Madrasa 32,293,298,1,592,50.34
Uttar Dinajpur,1301,UD-1301,33,Community Hall 33,378,369,1,748,49.33
Uttar Dinajpur,1301,UD-1301,34,Govt Office 34,342,318,1,661,48.11
Uttar Dinajpur,1301,UD-1301,35,Community Hall 35,353,330,1,684,48.25
Uttar Dinajpur,1301,UD-1301,36,Post Office 36,345,356,1,702,50.71
Uttar Dinajpur,1301,UD-1301,37,Market Building 37,280,269,0,549,49.0
Uttar Dinajpur,1301,UD-1301,38,Temple Hall 38,367,341,0,708,48.16
Uttar Dinajpur,1301,UD-1301,39,Anganwadi Centre 39,248,245,1,494,49.6
Uttar Dinajpur,1301,UD-1301,40,Panchayat Bhavan 40,319,301,0,620,48.55
Uttar Dinajpur,1301,UD-1301,41,Madrasa 41,376,342,0,718,47.63
Uttar Dinajpur,1301,UD-1301,42,Govt Office 42,347,353,1,701,50.36
Uttar Dinajpur,1301,UD-1301,43,Health Sub-Centre 43,291,277,1,569,48.68
Uttar Dinajpur,1301,UD-1301,44,Primary School 44,328,303,1,632,47.94
Uttar Dinajpur,1301,UD-1301,45,Market Building 45,248,255,0,503,50.7
Uttar Dinajpur,1301,UD-1301,46,Post Office 46,393,372,1,766,48.56
Uttar Dinajpur,1301,UD-1301,47,Govt Office 47,252,246,1,499,49.3
Uttar Dinajpur,1301,UD-1301,48,Temple Hall 48,291,293,1,585,50.09
Uttar Dinajpur,1301,UD-1301,49,Madrasa 49,279,268,0,547,48.99
Uttar Dinajpur,1301,UD-1301,50,Govt Office 50,410,397,0,807,49.19
Uttar Dinajpur,1301,UD-1301,51,Primary School 51,400,358,0,758,47.23
Uttar Dinajpur,1301,UD-1301,52,Health Sub-Centre 52,372,379,1,752,50.4
Uttar Dinajpur,1301,UD-1301,53,Market Building 53,330,339,0,669,50.67
Uttar Dinajpur,1301,UD-1301,54,Post Office 54,378,354,1,733,48.29
Uttar Dinajpur,1301,UD-1301,55,Panchayat Bhavan 55,373,371,1,745,49.8
Uttar Dinajpur,1301,UD-1301,56,Health Sub-Centre 56,326,298,1,625,47.68
Uttar Dinajpur,1301,UD-1301,57,Primary School 57,314,293,1,608,48.19
Uttar Dinajpur,1301,UD-1301,58,Market Building 58,266,267,1,534,50.0
Uttar Dinajpur,1301,UD-1301,59,Club Building 59,363,358,0,721,49.65
Uttar Dinajpur,1301,UD-1301,60,Club Building 60,357,367,1,725,50.62
Uttar Dinajpur,1301,UD-1301,61,Anganwadi Centre 61,378,377,0,755,49.93
Uttar Dinajpur,1301,UD-1301,62,Panchayat Bhavan 62,406,394,1,801,49.19
Uttar Dinajpur,1301,UD-1301,63,Community Hall 63,404,382,0,786,48.6
Uttar Dinajpur,1301,UD-1301,64,Temple Hall 64,338,327,1,666,49.1
Uttar Dinajpur,1301,UD-1301,65,Community Hall 65,371,351,1,723,48.55
Uttar Dinajpur,1301,UD-1301,66,Community Hall 66,399,383,0,782,48.98
Uttar Dinajpur,1301,UD-1301,67,High School 67,349,358,1,708,50.56
