district,seats,pop2011,pre_sir_el,sir_el,sir_adj,adj_pct,muslim_pct,sc_pct,st_pct,literacy,female_ratio,turnout_asm,turnout_ls,p1_base,p2_base,total_booths,cat_A,cat_B,cat_C,cat_D,total_electors,total_adj
Murshidabad,22,7102430,3460000,2870000,1101145,38.4,67,31,1,63.1,957,87.4,80.0,62.0,22.0,3165,402,843,0,1920,2068672,253789
North 24 Parganas,33,10009781,5840000,5100000,591252,11.6,26,23,1,81.1,943,84.0,79.4,58.0,32.0,6160,695,3554,0,1911,4008524,333621
South 24 Parganas,26,8153176,3980000,3400000,522042,15.4,28,34,5,78.0,956,85.0,82.0,60.0,28.0,4336,611,1976,0,1749,2819727,271122
Purba Medinipur,16,5094238,2540000,2420000,28000,1.2,4,14,1,81.0,975,89.0,87.5,64.0,28.0,3052,1397,1655,0,0,1986067,54685
Hooghly,18,5520389,2620000,2440000,35000,1.4,9,26,1,79.9,951,84.0,81.1,58.0,32.0,2985,478,2507,0,0,1944192,75742
Nadia,17,5167600,2540000,2240000,267940,12.0,24,32,2,75.6,953,84.1,81.0,56.0,34.0,2850,131,1277,0,1442,1850646,190468
Paschim Medinipur,16,5913457,2820000,2640000,18000,0.7,8,21,11,79.0,967,82.0,81.1,57.0,33.0,3325,433,2892,0,0,2149255,58065
Howrah,16,4850029,2280000,2060000,48000,2.3,22,14,0,80.1,939,83.0,78.1,57.0,32.0,2350,292,2058,0,0,1531838,68602
Malda,12,3988845,1980000,1480000,828127,56.0,51,39,5,62.7,954,84.9,80.0,55.0,22.0,2296,0,0,0,2296,1494772,673403
Purba Bardhaman,16,4835532,2380000,2220000,365539,16.5,10,30,3,75.1,949,85.0,83.0,60.0,28.0,2759,199,611,0,1949,1794674,233057
Bankura,10,3596674,1680000,1560000,22000,1.4,5,35,9,70.9,959,81.0,78.0,55.0,34.0,1923,167,1756,0,0,1247368,29940
Birbhum,11,3502404,1540000,1420000,42000,3.0,37,36,7,62.4,956,83.0,77.1,60.0,26.0,1846,443,1403,0,0,1200706,52436
Cooch Behar,9,2822780,1510000,1280000,238107,18.6,11,51,0,75.5,943,81.0,82.0,52.0,38.0,1685,1,111,0,1573,1094709,186471
Uttar Dinajpur,9,3007134,1540000,1280000,480341,37.5,49,43,10,60.2,950,85.0,80.0,58.0,22.0,1562,0,0,0,1562,1015599,323956
Paschim Bardhaman,9,2882031,1520000,1400000,12000,0.9,11,25,2,74.5,928,83.0,81.1,54.0,33.0,1747,106,1641,0,0,1128359,27585
Jalpaiguri,8,3872846,1830000,1720000,19000,1.1,8,36,13,72.4,952,81.0,77.0,50.0,38.0,2065,29,2036,0,0,1343096,33249
Purulia,9,2930115,1360000,1280000,14000,1.1,5,20,26,65.4,955,82.3,79.4,52.0,36.0,1561,57,1504,0,0,1017456,18080
Alipurduar,5,1491250,1420000,1360000,18000,1.3,9,37,23,71.1,949,84.0,80.9,48.0,40.0,1505,11,1494,0,0,978272,17637
Dakshin Dinajpur,6,1670931,900000,840000,28000,3.3,28,43,3,67.6,952,82.0,81.0,57.0,27.0,982,118,864,0,0,637303,27470
Darjeeling,6,1846823,1480000,1360000,12000,0.9,4,19,32,79.9,974,78.0,72.3,42.0,44.0,1511,0,1511,0,0,980258,19598
Jhargram,4,1136548,680000,640000,8000,1.2,3,19,45,65.4,970,81.5,78.8,55.0,33.0,774,70,704,0,0,504047,11347
Kolkata,11,4486679,2020000,1860000,18000,1.0,28,12,0,87.1,899,80.0,71.0,58.0,30.0,2017,312,1705,0,0,1310598,35558
Kalimpong,2,251642,180000,168000,4000,2.4,2,6,57,79.8,997,72.0,67.0,40.0,46.0,201,0,201,0,0,131960,3250
